Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Desulfovibrio: Atopic dermatitis, Autism, Allergy, Ulcerative Colitis, Miscarriage, Autism spectrum disorders, Major depressive disorder, Osteoporosis, Hypertension, Schizophrenia, Inflammatory Bowel Disease, Thyroid carcinoma, Primary biliary cholangitis, Infantile eczema, Hyperthyroidism, Type 1 Diabetes, Cholestasis, Enthesitis-related arthritis , Crohn's Disease, Cirrhosis
Clostridia cluster I: Ulcerative Colitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Colorectal cancer, Autism, Schizophrenia, Psoriasis, Caries, Cirrhosis, periodontitis, Obesity, Asthma, Cystic Fibrosis, Autism spectrum disorders, HIV infection, Irritable Bowel Syndrome, Breast cancer, Rheumatoid Arthritis, Oral cancer
Eggerthella lenta: Type 2 Diabetes, Obesity, Crohn's Disease, Cystic Fibrosis, Parkinson's Disease, Ulcerative Colitis, Cirrhosis, HIV infection, Psoriasis, Colorectal cancer, Caries, Asthma, periodontitis, Schizophrenia, Irritable Bowel Syndrome, Autism, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Autism spectrum disorders, Oral cancer
Streptococcus thermophiles: Type 2 Diabetes, Obesity, Cystic Fibrosis, periodontitis, Caries, HIV infection, Crohn's Disease, Parkinson's Disease, Colorectal cancer, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis, Psoriasis, Cirrhosis, Irritable Bowel Syndrome, Asthma, Smoking, Oral cancer, Rheumatoid Arthritis, Ulcerative Colitis, Systemic lupus erythematosus
Faecalibacterium prausnitzii: Inflammatory Bowel Disease, Multiple Sclerosis, Ulcerative Colitis, Chronic kidney disease, Autism spectrum disorders, Type 1 Diabetes, Alcoholism, Non-alcoholic fatty liver disease, Rheumatoid Arthritis, Cirrhosis, Autism, Coronary artery disease, Infantile eczema, Hepatocellular cancer, Hypertension, Primary sclerosing cholangitis, Systemic lupus erythematosus, HIV infection, Psoriasis, Cholestasis
Anaerostipes hadrus: Type 2 Diabetes, Crohn's Disease, Parkinson's Disease, Ulcerative Colitis, Colorectal cancer, Caries, Obesity, Psoriasis, periodontitis, Cystic Fibrosis, Cirrhosis, Schizophrenia, Autism, HIV infection, Asthma, Irritable Bowel Syndrome, Autism spectrum disorders, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Eubacterium rectale: Cystic Fibrosis, HIV infection, Cirrhosis, Type 2 Diabetes, Obesity, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Systemic lupus erythematosus, Irritable Bowel Syndrome, Ulcerative Colitis, Crohn's Disease, Psoriasis, Oral cancer, Asthma, Chronic kidney disease, Smoking, Autism spectrum disorders, Parkinson's Disease, Behcet's Disease, Autism
Clostridium: Multiple Sclerosis, Chronic kidney disease, Inflammatory Bowel Disease, Alcoholism, Type 1 Diabetes, Rheumatoid Arthritis, Autism spectrum disorders, Non-alcoholic fatty liver disease, Coronary artery disease, Cirrhosis, Ulcerative Colitis, Hepatocellular cancer, Infantile eczema, Autism, Hypertension, Primary sclerosing cholangitis, Systemic lupus erythematosus, Ankylosing spondylitis, HIV infection, Behcet's Disease
Bacteroides stercoris: Type 2 Diabetes, Crohn's Disease, Ulcerative Colitis, Parkinson's Disease, Obesity, Cystic Fibrosis, Psoriasis, Cirrhosis, Colorectal cancer, Schizophrenia, HIV infection, Caries, Autism, Asthma, periodontitis, Autism spectrum disorders, Irritable Bowel Syndrome, Rheumatoid Arthritis, Chronic Obstructive Pulmonary Disease, Oral cancer
Bacteroides coprocola: Type 2 Diabetes, Obesity, Cystic Fibrosis, Crohn's Disease, HIV infection, Parkinson's Disease, Cirrhosis, Caries, Psoriasis, periodontitis, Ulcerative Colitis, Colorectal cancer, Chronic Obstructive Pulmonary Disease, Asthma, Irritable Bowel Syndrome, Rheumatoid Arthritis, Schizophrenia, Oral cancer, Systemic lupus erythematosus, Autism
