Collinsella aerofaciens: Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Bacterial Vaginosis, Colon cancer, Liver cirrhosis, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, New-onset untreated rheumatoid arthrits, Skin and mucosal infections, COPD, Inflammatory bowel disease(IBD), Whipple's disease
Fusobacterium: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Psoriasis, Asthma, COPD, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), Bacterial Vaginosis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Irritable bowel syndrome(IBS), Constipation Irritable bowel syndrome(IBS)
Porphyromonas gingivalis: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Clostridium difficile infection(CDI), Periodontal, COPD, Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Bacterial Vaginosis, Skin and mucosal infections, Gastro-oesophageal reflux
Prevotella: Liver cirrhosis, Type 1 diabetes, Necrotizing Enterocolitis, Bacterial Vaginosis, Crohn's disease(CD), Type 2 diabetes, Clostridium difficile infection(CDI), COPD, Psoriasis, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
Treponema: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Clostridium difficile infection(CDI), Periodontal, COPD, Type 2 diabetes, Colorectal carcinoma, Ileal Crohn's disease(CD), Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Liver cirrhosis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Bacterial Vaginosis, Skin and mucosal infections, Gastro-oesophageal reflux
Helicobacter pylori: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Psoriasis, Clostridium difficile infection(CDI), COPD, Type 2 diabetes, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Liver cirrhosis, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Bacterial Vaginosis, Eczema, Gastro-oesophageal reflux, Allergy
Staphylococcus aureus: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Type 2 diabetes, COPD, Type 1 diabetes, Cystic fibrosis, Crohn's disease(CD), Asthma, Liver cirrhosis, Psoriasis, Clostridium difficile infection(CDI), Obesity, Colorectal carcinoma, Ulcerative colitis, Ileal Crohn's disease(CD), Periodontal, Inflammatory bowel disease(IBD), Rheumatoid arthrits, Systemic inflammatory response syndrome
Clostridia: Type 1 diabetes, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 2 diabetes, Psoriasis, COPD, Asthma, Colorectal carcinoma, Periodontal, Ileal Crohn's disease(CD), Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis, Irritable bowel syndrome(IBS)
Bifidobacterium: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Crohn's disease(CD), Periodontal, Ileal Crohn's disease(CD), Type 2 diabetes, Colorectal carcinoma, Psoriasis, Asthma, COPD, Bacterial Vaginosis, Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Irritable bowel syndrome(IBS), Rheumatoid arthrits, Systemic inflammatory response syndrome, Cystic fibrosis
Bifidobacterium catenulatum: Irritable bowel syndrome(IBS), Type 1 diabetes, Cystic fibrosis, Liver cirrhosis, Bacterial Vaginosis, Colon cancer, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, COPD, Inflammatory bowel disease(IBD), Skin and mucosal infections, New-onset untreated rheumatoid arthrits, Whipple's disease
Clostridium coccoides: Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Type 1 diabetes, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 2 diabetes, Asthma, COPD, Psoriasis, Bacterial Vaginosis, Colorectal carcinoma, Ileal Crohn's disease(CD), Periodontal, Obesity, Ulcerative colitis, Inflammatory bowel disease(IBD), Systemic inflammatory response syndrome, Rheumatoid arthrits, Cystic fibrosis
