Ulcerative Colitis: Sphingomonas, Enterobacter, Peptococcaceae, Lactobacillaceae, Blautia, Cetobacterium, Neisseria, Prevotella shahii, Bacteroides fragilis, Aeromonas, Treponema putidum, Simonsiella muelleri, Prevotella scopos, Oribacterium, Actinomycetaceae, Sphingobacterium, Christensenellaceae, Anaerobutyricum hallii, Corynebacteriaceae, Alistipes putredinis
Mouth Neoplasms: Enterobacter, Sphingomonas, Lactobacillaceae, Peptococcaceae, Corynebacteriaceae, Blautia, Neisseria, Christensenellaceae, Oribacterium, Prevotella shahii, Bacteroides fragilis, Cetobacterium, Aeromonas, Treponema putidum, Simonsiella muelleri, Prevotella scopos, Sphingobacterium, Actinomycetaceae, Anaerobutyricum hallii, Bifidobacterium sp.
Crohn Disease: Cetobacterium, Sphingomonas, Enterobacter, Peptococcaceae, Aeromonas, Blautia, Prevotella shahii, Bacteroides fragilis, Lactobacillaceae, Neisseria, Treponema putidum, Simonsiella muelleri, Prevotella scopos, Sphingobacterium, Campylobacter ureolyticus, Staphylococcus aureus, Paracoccus, Oribacterium, Actinomycetaceae, Anaerobutyricum hallii
Irritable Bowel Syndrome: Blautia, Campylobacter ureolyticus, Alistipes putredinis, Cetobacterium, Rikenellaceae, Campylobacter gracilis, Akkermansia muciniphila, Neisseria, Bacteroides fragilis, Actinomycetaceae, Peptococcaceae, Sphingomonas, Lactobacillaceae, Anaerobutyricum hallii, Streptococcus sanguinis, Paracoccus, Citrobacter, Aeromonas, Enterococcaceae, Oxalobacter
Celiac Disease: Blautia, Sphingomonas, Lactobacillaceae, Neisseria, Enterobacter, Peptococcaceae, Actinomycetaceae, Bacteroides fragilis, Rikenellaceae, Oribacterium, Christensenellaceae, Corynebacteriaceae, Cetobacterium, Sphingobacterium, Anaerobutyricum hallii, Aeromonas, Brevundimonas, Alistipes putredinis, Campylobacter ureolyticus, Prevotella shahii
Colorectal Neoplasms: Hungatella, Enterobacter, Cetobacterium, Sphingomonas, Campylobacter sp. oral taxon 044, Bifidobacterium sp., Corynebacteriaceae, Peptococcaceae, Lactobacillaceae, Rothia aeria, Lactobacillus mucosae, Neisseria, Blautia, Aeromonas, Christensenellaceae, Bacteroides fragilis, Oribacterium, Sphingobacterium, Moraxella, Corynebacterium durum
Atherosclerosis: Treponema, Corynebacteriaceae, Catonella, Moraxella, Enterobacter, Hydrogenoanaerobacterium, Pyramidobacter, Abiotrophia, Methylobacterium, Euryarchaeota, Corynebacteriales, Lactobacillaceae, Christensenellaceae, Sphingomonas, Rhodobacteraceae, Leptotrichiaceae, Hathewaya histolytica, Planctomycetes, Oribacterium, Proteus
Peripheral Arterial Disease: Acidiphilium, Aggregatibacter actinomycetemcomitans, Mycoplasma, Weissella, Robinsoniella, Fannyhessea vaginae, Schlegelella, Micrococcales, Retroviridae, Herpesviridae, Reoviridae, Candidatus Arthromitus, Corynebacteriales, Phocaeicola massiliensis, Methanobacteria, Allisonella, Pyramidobacter, Porphyromonas gingivalis, Chlamydia, Lachnospiraceae bacterium 2_1_58FAA
Diarrhea: Treponema, Catonella, Corynebacteriaceae, Pyramidobacter, Moraxella, Corynebacteriales, Enterobacter, Euryarchaeota, Planctomycetes, Micrococcus, Methylobacterium, Hydrogenoanaerobacterium, Mycoplasma, Serratia, Hydrogenophaga, Abiotrophia, Rhodobacteraceae, Tannerella, Leptotrichiaceae, Christensenellaceae
Coronary Artery Disease: Treponema, Catonella, Corynebacteriaceae, Moraxella, Pyramidobacter, Enterobacter, Hydrogenoanaerobacterium, Euryarchaeota, Abiotrophia, Corynebacteriales, Methylobacterium, Planctomycetes, Micrococcus, Rhodobacteraceae, Hathewaya histolytica, Lactobacillus mucosae, Leptotrichiaceae, Proteus, Hydrogenophaga, Tannerella
Pancreatic Neoplasms: Enterobacter, Corynebacteriaceae, Lactobacillaceae, Sphingomonas, Peptococcaceae, Blautia, Neisseria, Christensenellaceae, Oribacterium, Moraxella, Treponema, Bacteroides fragilis, Actinomycetaceae, Sphingobacterium, Leptotrichiaceae, Methylobacterium, Aeromonas, Brevundimonas, Anaerobutyricum hallii, Rikenellaceae
