,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0000000000000009,0.4185595943908176,0.0,0.3712641662205129,0.0,0.0,0.0,0.0,0.0,0.6606942889137729,0.0,0.0,0.0,0.6514432113693264,0.0,0.0,0.5133016163177961,0.0,0.5844646663261375,0.0,0.574709475166103,0.7536394176931682,0.0,0.4492557606838573,0.0,0.7178702277236291,0.4100397000406931,0.0172388172508447,0.6978437686109921,0.7565448765164602,0.5603368157827155,0.7509794124918644,0.393223183268503,0.0,0.6521982893639646,0.0,0.0,0.0,0.0
Periodontal,0.4185595943908178,1.0,0.0,0.3335951978989663,0.0,0.0,0.0,0.0,0.0,0.4251424652288776,0.0,0.0,0.0,0.2042600491894982,0.0,0.0,0.2470457450353193,0.0,0.378807204207079,0.0,0.3171156713784678,0.3408214342883715,0.0,0.3848621041685149,0.0,0.3100904369942019,0.3403026998578233,0.0218739319629903,0.1923110590095301,0.1553064129707115,0.2339613889477992,0.1426341680924962,0.3488556304859551,0.0,0.2658352146517861,0.0,0.0,0.0,0.0
Gastric and duodenal ulcer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastro-oesophageal reflux,0.3712641662205124,0.3335951978989662,0.0,0.9999999999999992,0.0,0.0,0.0,0.0,0.0,0.384101878409945,0.0,0.0,0.0,0.4579589385373083,0.0,0.0,0.4929101767715401,0.0,0.4929101767715401,0.0,0.5089196240099498,0.7967216252109836,0.0,0.46030014717171,0.0,0.6617264903751753,0.5603324616837957,0.0368933994965805,0.414210232581126,0.3320120394227691,0.4778459993904856,0.332814503393019,0.4666933356998765,0.0,0.5148882679696665,0.0,0.0,0.0,0.0
Guttate psoriasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhea Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constipation Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obesity,0.6606942889137729,0.4251424652288776,0.0,0.384101878409945,0.0,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,0.5441302006362286,0.0,0.0,0.4855782884315652,0.0,0.5609517199796835,0.0,0.5181347607491673,0.6699328107502792,0.0,0.4247852923629385,0.0,0.5665036041505095,0.4340236398325851,0.0830454798537399,0.6157939194123481,0.7305053970508679,0.4888581324287424,0.7680471264121341,0.4203265175289418,0.0,0.7398488108628575,0.0,0.0,0.0,0.0
Ileal Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacterial Vaginosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infectious colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulcerative colitis,0.6514432113693268,0.2042600491894982,0.0,0.4579589385373087,0.0,0.0,0.0,0.0,0.0,0.5441302006362292,0.0,0.0,0.0,1.0,0.0,0.0,0.6339687094629076,0.0,0.6614374940407519,0.0,0.7439383979253438,0.7013171432505058,0.0,0.3423095825775903,0.0,0.7569084693195749,0.4330343980378228,0.0149780171690862,0.6992714103050196,0.6473309701217624,0.708935397320447,0.5813503318317994,0.3894444056130963,0.0,0.7654979263290222,0.0,0.0,0.0,0.0
Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
