,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0000000000000024,0.6580085080257914,0.0,0.2740969493608683,0.0,0.0,0.0,0.0,0.0,0.8245919100766944,0.0,0.0093955753500353,0.0,0.8163458211532022,0.0,0.0,0.815620568372998,0.0,0.815620568372998,0.0,0.8299287773222157,0.8409602198656928,0.0,0.3931110745501119,0.0,0.7727263115723828,0.7387509809430017,0.5150526803122006,0.8150317767524564,0.8230923208864681,0.8211598753305782,0.8310224825337088,0.6996181486536505,0.0,0.8395380620408789,0.0,0.0,0.0,0.0
Periodontal,0.6580085080257918,1.0000000000000009,0.0,0.3105436682296432,0.0,0.0,0.0,0.0,0.0,0.6902212554565859,0.0,0.0066104957515646,0.0,0.6591787836555045,0.0,0.0,0.6685738425744884,0.0,0.6685738425744884,0.0,0.7457041515408325,0.5771477115354244,0.0,0.4121340137187232,0.0,0.6745540779377432,0.8818658256256654,0.559173365798399,0.6935569094401736,0.5896265994932448,0.6370645388775303,0.6157305423213777,0.7649559170253274,0.0,0.6262923012698447,0.0,0.0,0.0,0.0
Gastric and duodenal ulcer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastro-oesophageal reflux,0.2740969493608681,0.3105436682296426,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.2956426046130191,0.0,0.0128458748884677,0.0,0.2603102991707327,0.0,0.0,0.2816931065011117,0.0,0.3028151495911769,0.0,0.5882802270987673,0.5894695186937841,0.0,0.3303927195242572,0.0,0.3217592193209904,0.3047983211882188,0.2850242367532732,0.2788594175558998,0.2416980097936399,0.2516008468559154,0.2504013915682089,0.3135862591015129,0.0,0.3280187337388109,0.0,0.0,0.0,0.0
Guttate psoriasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhea Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constipation Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obesity,0.8245919100766946,0.6902212554565852,0.0,0.2956426046130189,0.0,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0051348939620684,0.0,0.9209429829565966,0.0,0.0,0.81615945086468,0.0,0.8518756210919411,0.0,0.9201955341656354,0.8775689448631858,0.0,0.403541723804336,0.0,0.7612559060386769,0.6818013123285154,0.4990405038974508,0.8179999363040846,0.9089129117354344,0.9190996538735025,0.9165628297846804,0.6716080055230031,0.0,0.9006118987748981,0.0,0.0,0.0,0.0
