,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0,0.140680823169672,0.0,0.2569487820337981,0.0,0.0,0.0,0.0,0.0,0.6011902686069626,0.0,0.0,0.0,0.5798770017498261,0.0,0.0,0.4437825885781873,0.0,0.5478230897127438,0.0,0.5003517597457516,0.6193750353424746,0.0,0.3637915491360345,0.0,0.6122137341863134,0.3933230037118753,0.0,0.5726069076662056,0.6657705843287073,0.5043738298762046,0.778165532442441,0.2341752759191826,0.0,0.66478845020211,0.0,0.0,0.0,0.0
Periodontal,0.140680823169672,1.0000000000000002,0.0,0.187485054401953,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.1343609657478648,0.0,0.0,0.1532663836350062,0.0,0.1532663836350062,0.0,0.2618614682831909,0.1935148286418888,0.0,0.2189795605805436,0.0,0.2223243229499719,0.0988073933280809,0.0,0.1733430904047186,0.1237793285381607,0.1779426158083481,0.1137692067587695,0.1411862416005035,0.0,0.1510396350047996,0.0,0.0,0.0,0.0
Gastric and duodenal ulcer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastro-oesophageal reflux,0.2569487820337981,0.187485054401953,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.2720956036433476,0.0,0.0,0.0,0.3108334696666061,0.0,0.0,0.3235503959660309,0.0,0.3235503959660309,0.0,0.3379611331841711,0.4896513714325944,0.0,0.1846949626659602,0.0,0.4417261042993861,0.2571559776805161,0.0,0.3044474539391535,0.2401194993993894,0.3151742558172121,0.2334951188682021,0.2381627541147704,0.0,0.2930426312669156,0.0,0.0,0.0,0.0
Guttate psoriasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhea Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constipation Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obesity,0.6011902686069623,0.2182178902359924,0.0,0.2720956036433476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5623189042736997,0.0,0.0,0.4896834004147995,0.0,0.5244678071618472,0.0,0.5065765913135418,0.6106422388468844,0.0,0.2979288019363215,0.0,0.5548539166649895,0.4178298958820109,0.0,0.5445428206214383,0.6715246666504298,0.5616869842393423,0.6413280700839328,0.2764637730527278,0.0,0.677552667778825,0.0,0.0,0.0,0.0
Ileal Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacterial Vaginosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infectious colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulcerative colitis,0.5798770017498255,0.1343609657478648,0.0,0.3108334696666059,0.0,0.0,0.0,0.0,0.0,0.5623189042736989,0.0,0.0,0.0,1.0,0.0,0.0,0.5684809714791108,0.0,0.5684809714791108,0.0,0.6407460977383902,0.6296050767967163,0.0,0.3641010273282307,0.0,0.6075242394608711,0.3840515714420705,0.0,0.5055418304112677,0.5917903351748383,0.6477720518932929,0.5299195370725285,0.2608363968616314,0.0,0.6216828477487873,0.0,0.0,0.0,0.0
Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergic sensitization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopic dermatitis,0.4437825885781873,0.1532663836350062,0.0,0.3235503959660309,0.0,0.0,0.0,0.0,0.0,0.4896834004147997,0.0,0.0,0.0,0.5684809714791114,0.0,0.0,1.0000000000000004,0.0,1.0000000000000004,0.0,0.6485745919447639,0.513455055626427,0.0,0.2978532591127529,0.0,0.6096665672139748,0.431059999920855,0.0,0.4697686117698857,0.4797443010675681,0.5475073169743944,0.4259714805209402,0.2539880693379703,0.0,0.5423564407296003,0.0,0.0,0.0,0.0
Atopic sensitisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eczema,0.5478230897127436,0.1532663836350062,0.0,0.3235503959660309,0.0,0.0,0.0,0.0,0.0,0.5244678071618472,0.0,0.0,0.0,0.5684809714791114,0.0,0.0,1.0000000000000004,0.0,1.0000000000000004,0.0,0.6485745919447639,0.5725566887218343,0.0,0.2978532591127529,0.0,0.6096665672139748,0.4719024423042297,0.0,0.5074661285018978,0.6034839829008821,0.5475073169743944,0.5762907082534738,0.2950076089376268,0.0,0.5903405386679246,0.0,0.0,0.0,0.0
Recurrent wheeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergy,0.5003517597457513,0.2618614682831908,0.0,0.337961133184171,0.0,0.0,0.0,0.0,0.0,0.5065765913135417,0.0,0.0,0.0,0.6407460977383906,0.0,0.0,0.6485745919447639,0.0,0.6485745919447639,0.0,1.0000000000000004,0.5948942243289184,0.0,0.4990188036144598,0.0,0.5791321810325323,0.4138185565684772,0.0,0.5702365740284416,0.521792619381624,0.591814139470748,0.4842662601932245,0.3162576594579422,0.0,0.6748875950082015,0.0,0.0,0.0,0.0
Asthma,0.6193750353424744,0.1935148286418888,0.0,0.4896513714325944,0.0,0.0,0.0,0.0,0.0,0.6106422388468845,0.0,0.0,0.0,0.6296050767967168,0.0,0.0,0.5134550556264267,0.0,0.5725566887218344,0.0,0.5948942243289183,1.0000000000000002,0.0,0.5121244873732463,0.0,0.5768846908771302,0.4429820051635896,0.0,0.5713024840253514,0.612069516764657,0.5619869929105458,0.6264486085713395,0.32542967002028,0.0,0.6272170135860959,0.0,0.0,0.0,0.0
Inflammatory bowel disease(IBD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cystic fibrosis,0.3637915491360347,0.2189795605805436,0.0,0.1846949626659602,0.0,0.0,0.0,0.0,0.0,0.2979288019363214,0.0,0.0,0.0,0.3641010273282308,0.0,0.0,0.2978532591127529,0.0,0.2978532591127529,0.0,0.4990188036144599,0.5121244873732468,0.0,1.0000000000000002,0.0,0.4181210050035454,0.1893219962645558,0.0,0.4571777690406242,0.345214112577016,0.3835695525860418,0.3245627331612106,0.216418308019877,0.0,0.5065688282611002,0.0,0.0,0.0,0.0
Rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psoriasis,0.6122137341863125,0.2223243229499718,0.0,0.4417261042993861,0.0,0.0,0.0,0.0,0.0,0.5548539166649888,0.0,0.0,0.0,0.6075242394608711,0.0,0.0,0.6096665672139743,0.0,0.6096665672139743,0.0,0.5791321810325322,0.5768846908771296,0.0,0.4181210050035454,0.0,0.9999999999999998,0.4084716030901765,0.0,0.6085861134140147,0.5430954236759715,0.5721474000226228,0.5766549884772294,0.2553541159019178,0.0,0.5549890273805603,0.0,0.0,0.0,0.0
Necrotizing Enterocolitis,0.393323003711875,0.0988073933280809,0.0,0.257155977680516,0.0,0.0,0.0,0.0,0.0,0.4178298958820106,0.0,0.0,0.0,0.3840515714420704,0.0,0.0,0.4310599999208547,0.0,0.4719024423042293,0.0,0.413818556568477,0.4429820051635898,0.0,0.1893219962645558,0.0,0.4084716030901767,0.9999999999999994,0.0,0.3415440736444634,0.4015619369581487,0.4153758374588219,0.3953168964227856,0.2301790343545177,0.0,0.4022320499326422,0.0,0.0,0.0,0.0
Systemic inflammatory response syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD,0.5726069076662055,0.1733430904047185,0.0,0.3044474539391535,0.0,0.0,0.0,0.0,0.0,0.5445428206214381,0.0,0.0,0.0,0.505541830411268,0.0,0.0,0.4697686117698855,0.0,0.5074661285018979,0.0,0.5702365740284416,0.5713024840253516,0.0,0.4571777690406242,0.0,0.6085861134140154,0.3415440736444634,0.0,1.0000000000000009,0.5551289493961864,0.5310577600108668,0.5670784664958909,0.297282980864852,0.0,0.6029637860479206,0.0,0.0,0.0,0.0
Type 2 diabetes,0.665770584328708,0.1237793285381607,0.0,0.2401194993993894,0.0,0.0,0.0,0.0,0.0,0.671524666650429,0.0,0.0,0.0,0.5917903351748385,0.0,0.0,0.4797443010675676,0.0,0.6034839829008815,0.0,0.5217926193816239,0.6120695167646565,0.0,0.3452141125770159,0.0,0.5430954236759716,0.4015619369581488,0.0,0.5551289493961856,1.0000000000000002,0.5540819403118872,0.6809041239003937,0.237866936395196,0.0,0.7208947713967043,0.0,0.0,0.0,0.0
Type 1 diabetes,0.5043738298762043,0.1779426158083481,0.0,0.3151742558172121,0.0,0.0,0.0,0.0,0.0,0.5616869842393423,0.0,0.0,0.0,0.6477720518932931,0.0,0.0,0.547507316974394,0.0,0.547507316974394,0.0,0.5918141394707477,0.5619869929105457,0.0,0.3835695525860418,0.0,0.5721474000226231,0.415375837458822,0.0,0.5310577600108668,0.5540819403118872,1.0000000000000004,0.488606793824542,0.2802790170411205,0.0,0.5539666582399692,0.0,0.0,0.0,0.0
Colorectal carcinoma,0.7781655324424428,0.1137692067587695,0.0,0.2334951188682021,0.0,0.0,0.0,0.0,0.0,0.641328070083932,0.0,0.0,0.0,0.5299195370725285,0.0,0.0,0.4259714805209402,0.0,0.5762907082534734,0.0,0.4842662601932243,0.6264486085713388,0.0,0.3245627331612106,0.0,0.5766549884772293,0.3953168964227859,0.0,0.56707846649589,0.6809041239003931,0.4886067938245419,1.0000000000000009,0.2404935160512263,0.0,0.7152066520556952,0.0,0.0,0.0,0.0
Kidney stones,0.2341752759191825,0.1411862416005035,0.0,0.2381627541147704,0.0,0.0,0.0,0.0,0.0,0.2764637730527278,0.0,0.0,0.0,0.2608363968616314,0.0,0.0,0.2539880693379703,0.0,0.2950076089376265,0.0,0.3162576594579422,0.32542967002028,0.0,0.216418308019877,0.0,0.2553541159019178,0.2301790343545178,0.0,0.2972829808648519,0.237866936395196,0.2802790170411204,0.2404935160512262,0.9999999999999998,0.0,0.2991366029346213,0.0,0.0,0.0,0.0
Whipple's disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver cirrhosis,0.6647884502021121,0.1510396350047996,0.0,0.2930426312669155,0.0,0.0,0.0,0.0,0.0,0.6775526677788261,0.0,0.0,0.0,0.6216828477487873,0.0,0.0,0.5423564407295999,0.0,0.5903405386679246,0.0,0.6748875950082011,0.6272170135860958,0.0,0.5065688282611001,0.0,0.5549890273805607,0.4022320499326424,0.0,0.6029637860479203,0.7208947713967052,0.5539666582399689,0.7152066520556961,0.2991366029346214,0.0,1.0000000000000018,0.0,0.0,0.0,0.0
Allergic asthma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium difficile infection(CDI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin and mucosal infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New-onset untreated rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
