Microorganism Name	Microorganism ID	TID
Eggerthella lenta	4	479437.0
Bacteroides stercoris	10	449673.0
Bacteroides coprocola	11	470145.0
Bacteroides coprophilus	16	547042.0
Prevotella copri	18	537011.0
Ruminococcus gnavus	20	411470.0
Dialister invisus	21	592028.0
Bifidobacterium adolescentis	22	1680.0
Parvimonas micra	23	411465.0
Prevotella melaninogenica	24	553174.0
Staphylococcus aureus	26	1280.0
Campylobacter gracilis	30	553220.0
Streptococcus intermedius	31	862967.0
Pseudomonas aeruginosa	37	287.0
Bifidobacterium catenulatum	38	566552.0
Bifidobacterium longum	39	216816.0
Bifidobacterium dentium	40	401473.0
Akkermansia muciniphila	44	349741.0
Bacteroides intestinalis	45	471870.0
Haemophilus parainfluenzae	55	862965.0
Bacteroides vulgatus	60	435590.0
Ruminococcus callidus	74	411473.0
Nitrosomonas eutropha	105	335283.0
Clostridium acetobutylicum	109	272562.0
Bifidobacterium breve	110	326426.0
Thiomicrospira crunogena	112	317025.0
Corynebacterium jeikeium	120	306537.0
Klebsiella pneumoniae	122	573.0
Holdemania filiformis	140	545696.0
Alistipes putredinis	143	445970.0
Pseudoflavonifractor capillosus	148	411467.0
Eubacterium ventriosum	149	411463.0
Eubacterium desmolans	150	1408437.0
Bacteroides thetaiotaomicron	151	226186.0
Bacillus licheniformis	153	279010.0
Klebsiella oxytoca	155	571.0
Desulfovibrio piger	162	411464.0
Clostridium methylpentosum	164	537013.0
Eubacterium eligens	165	515620.0
Parabacteroides distasonis	168	435591.0
Bifidobacterium angulatum	171	518635.0
Clostridium leptum	172	428125.0
Clostridium butyricum	176	632245.0
Clostridium clostridioforme	177	742735.0
Clostridium innocuum	181	999413.0
Erysipelatoclostridium ramosum	183	445974.0
Clostridium scindens	184	411468.0
Clostridium spiroforme	186	428126.0
Ruminococcus lactaris	191	471875.0
Shigella flexneri	246	198214.0
Fusobacterium varium	249	469618.0
Bacteroides ovatus	257	411476.0
Bacteroides plebeius	258	484018.0
Prevotella ruminicola	260	264731.0
Prevotella tannerae	261	626522.0
Tyzzerella nexilis	266	500632.0
Coprococcus eutactus	267	411474.0
Bacteroides finegoldii	271	483215.0
Lachnobacterium bovis	274	140626.0
Megamonas hypermegale	278	1122216.0
Citrobacter farmeri	280	1114922.0
Lactobacillus gasseri	309	324831.0
Desulfurispirillum indicum	311	653733.0
Clostridium beijerinckii	312	290402.0
Pyramidobacter piscolens	314	352165.0
Eubacterium yurii	316	864565.0
Eubacterium nodatum	317	1161902.0
