Disease ID,Organism ID,Relationship
1,1,1
1,2,1
1,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
3,6,1
3,20,1
3,21,1
3,22,1
3,6,1
3,20,1
3,22,1
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,1
3,29,1
3,30,1
3,24,1
3,26,1
3,27,1
3,31,1
3,28,1
4,23,1
4,25,1
4,26,1
4,27,1
4,32,1
5,33,1
5,34,1
5,35,1
5,36,1
5,37,1
6,38,1
6,38,1
6,38,1
6,39,1
6,39,1
6,40,1
6,41,1
6,42,1
6,33,1
6,9,1
7,43,1
7,14,1
7,44,1
7,45,1
7,46,1
7,47,1
7,48,1
7,49,1
7,4,1
7,50,1
7,51,1
7,52,1
7,53,1
7,54,1
7,8,1
7,6,1
7,55,1
7,56,1
7,57,1
7,58,1
7,59,1
8,60,1
8,1,1
9,1,1
9,1,1
9,61,1
9,61,1
9,9,1
9,58,1
9,14,1
9,9,1
9,58,1
9,14,1
9,62,1
9,61,1
9,36,1
9,52,1
9,43,1
9,9,1
9,63,1
9,14,1
9,64,1
9,65,1
9,35,1
9,66,1
9,67,1
9,62,1
9,68,1
9,69,1
9,70,1
9,71,1
9,72,1
10,62,1
10,73,1
10,61,1
10,51,1
10,52,1
10,54,1
11,74,1
11,75,1
12,61,1
12,76,1
12,43,1
12,77,1
12,78,1
12,79,1
12,80,1
12,81,1
12,82,1
12,83,1
12,84,1
12,85,1
12,86,1
12,87,1
12,88,1
12,89,1
12,90,1
12,91,1
12,92,1
12,93,1
12,94,1
12,95,1
12,96,1
12,97,1
12,98,1
12,99,1
13,61,1
13,100,1
13,100,1
14,101,1
14,102,1
14,103,1
14,104,1
14,105,1
14,106,1
14,107,1
14,108,1
14,109,1
14,110,1
14,111,1
14,112,1
14,113,1
14,114,1
14,115,1
14,116,1
14,22,1
14,117,1
14,118,1
14,119,1
14,120,1
15,121,1
15,122,1
15,37,1
3,123,1
3,124,1
3,36,1
3,125,1
3,126,1
3,67,1
3,127,1
3,2,1
3,42,1
3,58,1
3,64,1
3,128,1
3,63,1
3,1,1
3,129,1
3,52,1
3,43,1
3,130,1
3,14,1
3,131,1
3,132,1
3,53,1
3,133,1
3,134,1
3,33,1
3,41,1
3,62,1
3,135,1
3,57,1
3,136,1
3,137,1
3,138,1
3,6,1
3,139,1
3,140,1
3,141,1
3,142,1
3,143,1
3,144,1
3,56,1
3,145,1
3,146,1
3,147,1
3,148,1
3,149,1
3,150,1
16,36,1
16,43,1
4,20,1
4,136,1
4,44,1
3,20,1
3,136,1
3,44,1
17,151,1
17,152,1
17,153,1
17,154,1
1,33,1
1,1,1
1,41,1
1,124,1
1,155,1
1,156,1
1,157,1
1,15,1
1,158,1
1,66,1
1,159,1
1,43,1
1,127,1
1,2,1
1,160,1
1,161,1
1,60,1
1,162,1
1,163,1
1,136,1
1,163,1
1,46,1
1,47,1
1,164,1
1,21,1
1,165,1
1,166,1
1,167,1
1,56,1
1,10,1
1,60,1
1,168,1
1,169,1
1,170,1
1,33,1
1,39,1
1,171,1
1,21,1
1,172,1
1,142,1
1,173,1
1,174,1
1,175,1
1,176,1
1,177,1
1,178,1
1,179,1
1,146,1
1,180,1
1,181,1
1,175,1
1,142,1
1,182,1
1,48,1
1,183,1
1,184,1
1,185,1
1,186,1
1,187,1
1,49,1
1,188,1
1,189,1
1,190,1
1,20,1
1,191,1
1,136,1
18,192,1
