Microbe	Code	TID
Fusobacterium varium	53	469618.0
Capnocytophaga gingivalis	57	553178.0
Leptotrichia buccalis	60	523794.0
Prevotella melaninogenica	61	553174.0
Bacteroides ovatus	71	411476.0
Bifidobacterium catenulatum	85	566552.0
Parabacteroides distasonis	86	435591.0
Akkermansia muciniphila	88	349741.0
Enterococcus durans	130	1140001.0
Enterococcus saccharolyticus	132	1139996.0
Oenococcus oeni	136	203123.0
Ruminococcus callidus	139	411473.0
Sphingomonas paucimobilis	140	13689.0
Pseudomonas luteola	143	1207076.0
Pseudomonas aeruginosa	145	287.0
Bifidobacterium adolescentis	146	1680.0
Dialister invisus	147	592028.0
Haemophilus parainfluenzae	153	862965.0
Bacteroides intestinalis	157	471870.0
Bacteroides stercoris	159	449673.0
Bacteroides uniformis	160	411479.0
Coprococcus eutactus	163	411474.0
Prevotella ruminicola	170	264731.0
Streptococcus intermedius	172	862967.0
Tyzzerella nexilis	174	500632.0
Granulicatella adiacens	188	638301.0
Acinetobacter baumannii	193	470.0
Alistipes putredinis	220	445970.0
Bacteroides caccae	223	411901.0
Barnesiella intestinihominis	224	742726.0
Clostridium innocuum	226	999413.0
Odoribacter splanchnicus	229	709991.0
Helicobacter canadensis	238	537970.0
Lactobacillus coleohominis	249	575594.0
Shigella flexneri	253	198214.0
Veillonella dispar	256	546273.0
Veillonella parvula	257	479436.0
Lactobacillus sakei	260	314315.0
Johnsonella ignava	274	679200.0
Campylobacter gracilis	283	553220.0
Campylobacter ureolyticus	284	827.0
Parvimonas micra	285	411465.0
Staphylococcus aureus	287	1280.0
Treponema denticola	290	243275.0
Bacteroides cellulosilyticus	331	1268240.0
Bacteroides finegoldii	332	483215.0
Bacteroides thetaiotaomicron	333	226186.0
Klebsiella oxytoca	343	571.0
Citrobacter farmeri	348	1114922.0
Lachnobacterium bovis	352	140626.0
Megamonas hypermegale	354	1122216.0
Prevotella copri	355	537011.0
Pseudoflavonifractor capillosus	358	411467.0
Gemella morbillorum	359	562982.0
Gemella sanguinis	360	562983.0
Prevotella salivae	362	888832.0
Roseburia hominis	368	585394.0
Candida albicans	370	5476.0
Candida tropicalis	371	5482.0
Saccharomyces cerevisiae	372	4932.0
Buttiauxella agrestis	379	1006004.0
Methylobacterium radiotolerans	381	426355.0
Novosphingobium aromaticivorans	383	279238.0
Sphingobium yanoikuyae	384	13690.0
Streptococcus pseudopneumoniae	385	1054460.0
Corynebacterium durum	389	1035195.0
Porphyromonas endodontalis	392	553175.0
Rothia mucilaginosa	395	680646.0
Prevotella nigrescens	419	997352.0
Campylobacter rectus	423	553218.0
Clostridium hylemonae	424	553973.0
Eubacterium ventriosum	425	411463.0
Fusobacterium gonidiaformans	426	469615.0
Fusobacterium periodonticum	431	546275.0
Leptotrichia hofstadii	432	634994.0
Olsenella uli	434	633147.0
Peptostreptococcus stomatis	435	596315.0
Porphyromonas asaccharolytica	436	879243.0
Selenomonas sputigena	437	546271.0
Klebsiella pneumoniae	452	573.0
Lactobacillus gasseri	492	324831.0
Anaerococcus tetradius	494	525255.0
Subdoligranulum variabile	527	411471.0
Holdemania filiformis	537	545696.0
Roseburia inulinivorans	538	622312.0
Blautia producta	545	33035.0
Haemophilus influenzae	550	71421.0
Morganella morganii	553	1124991.0
Neisseria cinerea	555	546262.0
Neisseria subflava	556	546268.0
Bacillus thermoamylovorans	582	35841.0
Alcaligenes faecalis	623	511.0
Bacillus cereus	624	1396.0
Erysipelatoclostridium ramosum	631	445974.0
Alloscardovia omnicolens	635	1120979.0
Prevotella pallens	645	997353.0
Prevotella scopos	646	1236518.0
Prevotella shahii	647	1122991.0
Simonsiella muelleri	651	641147.0
Treponema putidum	655	221027.0
Eggerthella lenta	657	479437.0
Holdemanella biformis	676	518637.0
Butyricicoccus pullicaecorum	742	1203606.0
Catonella morbi	745	592026.0
Slackia exigua	749	649764.0
Bacteroides nordii	753	997884.0
Bifidobacterium longum	754	216816.0
Blautia hansenii	755	537007.0
Fusobacterium mortiferum	758	469616.0
Prevotella stercorea	761	1002367.0
Faecalibacterium cf. prausnitzii KLE1255	776	748224.0
Alistipes indistinctus	794	742725.0
Aggregatibacter aphrophilus	798	634176.0
