,D003093_Ulcerative Colitis,D009062_Mouth Neoplasms,D003424_Crohn Disease,D043183_Irritable Bowel Syndrome,D002446_Celiac Disease,D015179_Colorectal Neoplasms,D003123_Colorectal Neoplasms,D002537_Atherosclerosis,D003324_Atherosclerosis,D050197_Atherosclerosis,D058729_Peripheral Arterial Disease,D003968_Diarrhea,D003967_Diarrhea,D003324_Coronary Artery Disease,D010190_Pancreatic Neoplasms,D005764_Gastroesophageal Reflux,D007822_Laryngeal Neoplasms,D015212_Inflammatory Bowel Diseases,D064726_Breast Neoplasms,D001943_Breast Neoplasms,D058922_Breast Neoplasms,D018567_Breast Neoplasms,D003248_Constipation,D010300_Parkinson Disease,D010302_Parkinson Disease,D020734_Parkinson Disease,D004938_Esophageal Neoplasms,D002583_Uterine Cervical Neoplasms,D020767_Thrombosis,D012851_Thrombosis,D020226_Thrombosis,D013927_Thrombosis,D002341_Thrombosis,D020225_Thrombosis,D013479_Thrombosis,D020244_Thrombosis,D020246_Thrombosis,D006502_Thrombosis,D012170_Thrombosis,D065666_Thrombosis,D020227_Thrombosis,D003328_Thrombosis,D006258_Head and Neck Neoplasms,D008114_Liver Neoplasms,D008113_Liver Neoplasms,D000690_Amyotrophic Lateral Sclerosis,D016889_Endometrial Neoplasms,D008175_Lung Neoplasms,D012004_Rectal Neoplasms,D019586_Hypertension,D006974_Hypertension,D011559_Hypertension,D006975_Hypertension,D010547_Hypertension,D006978_Hypertension,D000081029_Hypertension,D065627_Hypertension,D000075222_Hypertension,D006977_Hypertension,D046110_Hypertension,D009798_Hypertension,D006976_Hypertension,D006973_Hypertension,D005759_Gastroenteritis,D005761_Gastroenteritis,D064129_Prostatic Neoplasms,D011471_Prostatic Neoplasms,D003327_Coronary Heart Disease,D013274_Stomach Neoplasms,D000544_Alzheimer Disease,D014062_Tongue Neoplasms,D000076385_Diverticular Diseases,D001749_Urinary Bladder Neoplasms,D013964_Thyroid Neoplasms,D010051_Ovarian Neoplasms,D010610_Pharyngeal Neoplasms,D001661_Biliary Tract Neoplasms,D054198_Acute Lymphoblastic Leukemia,D005706_Gallbladder Neoplasms
D003093_Ulcerative Colitis,0.9999999999999997,0.5645841165200834,0.7005190688995473,0.29738217383859833,0.417126959241962,0.5813503318317994,0.24529313571999875,0.014978017169086252,0.5667463153089543,0.670871907496125,0.1505881017624705,0.011841162271854971,0.33528199449661794,0.5667463153089543,0.6817099411282731,0.45795893853730857,0.11530429444280715,0.6454072612980033,0.4636824767553761,0.47640424337146486,0.4449769560517916,0.23228201460770104,0.20397688947879158,0.6710565553675434,0.3804978352535373,0.42881789536110326,0.6827355332677467,0.4851845075322649,0.18759196367144468,0.15354314598124721,0.0,0.6537599233638253,0.17612495439699735,0.20197413156116625,0.11302542227833837,0.661713170669274,0.3524613261485789,0.19784946749136678,0.3016728459602112,0.1622827236990371,0.0,0.1728179965113143,0.5347924523310947,0.6356635637350554,0.6178203359438135,0.5364350618532296,0.6035090631894243,0.5482296854844353,0.3040667774782649,0.07943293131742069,0.25216882791211337,0.04596715316613775,0.32598587189736206,0.09873984083175258,0.20975744244526745,0.22772391313417326,0.21123411159537256,0.6302793749744812,0.24699410391602894,0.2208890972573359,0.3065062836382169,0.6633954922896197,0.5292324462964869,0.12201366575507865,0.1383490732076905,0.24829009712808844,0.4721531591237779,0.34526793443936266,0.6119829462213887,0.6906698993657598,0.427464291582572,0.2086515776638238,0.6145884369960857,0.7530500705092071,0.6897422608259135,0.11310946528690946,0.13538504440142685,0.5369409838269746,0.4525073988788851
D009062_Mouth Neoplasms,0.5645841165200827,0.9999999999999988,0.6178000710280667,0.31764330666285423,0.48213940345248846,0.489647530499539,0.3276426689966696,0.029930864720784975,0.6841147722706321,0.5352942016483831,0.1857422199720018,0.011831213107007525,0.41505131489648306,0.6841147722706321,0.585632316068383,0.5773164086197045,0.1580752884681947,0.6653591633081007,0.5545684947066284,0.38309783702416983,0.5161788718034567,0.3178259368887759,0.26317741591839544,0.5279955207166848,0.45095425104830655,0.482169137424498,0.6415570119934921,0.5264558314540408,0.25928417782185736,0.21371564634546436,0.0,0.6445198370118377,0.23434119244910834,0.264324232674961,0.14294994457681623,0.6507915869870768,0.4345360206672871,0.23537706704771544,0.37313812789990053,0.22340166634640002,0.0,0.2313163812205502,0.5808808622394642,0.5200839799013233,0.5335946248600217,0.7650518362139764,0.595990332673524,0.44062117365010195,0.38268538109437555,0.1075852801717916,0.31932228312568356,0.06123804094509554,0.3967352776179656,0.14363280735678197,0.2658446098266848,0.3089482597799592,0.2890709601893677,0.5963837176999323,0.2980286560537594,0.2865851445544569,0.3757681266639481,0.6477099221326396,0.42649584840488947,0.16169267997875336,0.18977727473105818,0.32477842501896603,0.3889823462547152,0.4336864197563339,0.4959442305637966,0.4879619260918248,0.6602850684707579,0.28367663164539725,0.49993018242078235,0.6260336484598783,0.6177541547174352,0.15522463688568966,0.18222496275228597,0.636503868116504,0.5808746432986437
D003424_Crohn Disease,0.7005190688995484,0.6178000710280676,1.0000000000000018,0.36522356717253557,0.5049149499338259,0.4913861628020592,0.29770455672984214,0.02996864298173532,0.6681620910357765,0.6369374725135466,0.17974280629156422,0.011846146275837936,0.3962019369826625,0.6681620910357765,0.6110490104021187,0.4989223594503698,0.1341311937124883,0.7707669084975497,0.5123424713860432,0.3838615679406382,0.49900864715931764,0.29405170026202354,0.26465280291487564,0.637421670380139,0.4404710287473508,0.4336345366568203,0.5745131043464999,0.48627663030269447,0.23067884169900985,0.19356355217161433,0.006839375741214716,0.7477894810493277,0.21073056548232744,0.23930141697917653,0.13311124756061735,0.7450211551091773,0.4036085928765925,0.22728717558561756,0.3560334001415826,0.19662513548925856,0.0,0.2104047641872737,0.5420350930579015,0.5591373203088824,0.5819205750699951,0.5745131043464996,0.6279136064761076,0.458264186261435,0.3392941561591109,0.09535963803904651,0.2995433292659355,0.0664249458442538,0.38047692779731335,0.12928742179357017,0.2513923682909011,0.25967134153533916,0.26432813528024324,0.7102751543239018,0.2883793645959206,0.2645188367180445,0.3534949898658886,0.7472651947330001,0.454738215987383,0.14519313132774253,0.16890382985419022,0.3071750060559766,0.3774335202769457,0.4258831616231452,0.511134022190642,0.5676248383992005,0.4753468672398276,0.25272377375142,0.5089645638368138,0.7045454822788897,0.5963832957271866,0.1308804706957357,0.16566463007048032,0.5256662818804958,0.44997441178796843
D043183_Irritable Bowel Syndrome,0.29738217383859844,0.31764330666285445,0.36522356717253573,0.9999999999999996,0.44743095232789754,0.18061742920859203,0.3601491446924983,0.04445054233079329,0.31316466312715713,0.23406735072094528,0.28560705940800307,0.0,0.39740806891792985,0.31316466312715713,0.2323708039234433,0.3976834168920336,0.23608506770632048,0.4186000820808214,0.4059775884723336,0.12800141432976964,0.4229412152563352,0.2771050866355801,0.3244338246410475,0.2644255798921145,0.3850823367725273,0.33801817070070833,0.23954684224403766,0.3588021463514654,0.32629988749134775,0.26339472407530085,0.02705173858657084,0.33307735278257056,0.3134384919799501,0.31654715848789045,0.22361844298093042,0.3511502378030248,0.397915685764254,0.30187402934579816,0.3843299189862097,0.26756082293088235,0.0,0.3080476877607962,0.32752606356952774,0.21672103235879367,0.22174052821141677,0.3055331251770017,0.2804582343903584,0.17172876049272176,0.3451428566785658,0.13270984850687753,0.34030966331584933,0.07073504259731864,0.38607798060918375,0.22121048920911787,0.3133394768760623,0.2861293853831322,0.3668888737495689,0.41085307749753824,0.3277255975962859,0.33396497307146633,0.36438961395461356,0.3555881555003774,0.15495829969139827,0.2464836321663933,0.257483086574926,0.27655505958066307,0.13068065457090206,0.3640726658570353,0.1899830096911279,0.2095447991597888,0.3766916364036429,0.35236521052833714,0.19610316520781776,0.2718986958060128,0.2567365462013644,0.23187332467126656,0.27892493944451685,0.26793928097766356,0.35009139655164073
D002446_Celiac Disease,0.41712695924196175,0.48213940345248885,0.5049149499338261,0.44743095232789776,0.9999999999999999,0.2830808732693795,0.4420377407085378,0.037570695015561796,0.49647786846755,0.36778456719049074,0.2722286641604454,0.014851121190588817,0.5086109310677907,0.49647786846755,0.3614049366999924,0.5128609444121248,0.23878128506670657,0.5236686447492502,0.554640589001806,0.22340522826218848,0.5409742523028936,0.3624575931982538,0.3518512920371637,0.38444643394826733,0.4939270652331639,0.47814927753083447,0.386663178831398,0.524288278219767,0.3617381084698344,0.2894160346860709,0.017148597634308423,0.47049898366467413,0.33522752416565127,0.367554887800524,0.22788601671775022,0.48564213962889957,0.5169796633367508,0.3206916347110961,0.45830863205739397,0.2917322209955513,0.0,0.3271658708202351,0.4866866824295023,0.3359043469603524,0.34649376953655536,0.46258976667465446,0.4340835443762059,0.27145276129433266,0.4485856235684913,0.13504634053192643,0.41814060502342426,0.0864776294907233,0.46960931279893947,0.22400284328025666,0.3504745857596032,0.34110778619985566,0.4100711121474058,0.5413081782127932,0.39184412724726375,0.3845451475536691,0.4802379612784057,0.5014668291895806,0.2585578497044149,0.24323536918410574,0.260274980484393,0.3755866084003989,0.22395120591184614,0.6176670812903292,0.2928330712750688,0.3320858136024796,0.5239100478233703,0.38879608354621903,0.30586721227343316,0.3939694040524007,0.3750632834664559,0.23586573425469526,0.2848697068656513,0.41003528950564594,0.4715525841312759
D015179_Colorectal Neoplasms,0.5813503318317997,0.48964753049953985,0.491386162802059,0.18061742920859206,0.2830808732693797,1.0000000000000004,0.1746879722758679,0.01495706008988526,0.47363271760137543,0.6830911337849497,0.09956021000174278,0.011824594246010052,0.2468439177681617,0.47363271760137543,0.7174251168692422,0.3328145033930195,0.08970440056899796,0.44248286730447806,0.318940375054406,0.7224164523159797,0.2918204456317663,0.2088105550909877,0.14834674139778842,0.5987689801537229,0.2926804722641657,0.3313443965885563,0.6118110189037173,0.3754918730387762,0.13035010139179712,0.11255893283066379,0.0,0.4883730323681534,0.12019838707947916,0.139997651308746,0.08429328381841879,0.4477114011583205,0.24697427247189221,0.1347847238329319,0.2075171545996565,0.11884081694601263,0.0,0.11233733216679288,0.41328182601435803,0.7472374416498959,0.7050924439193373,0.46179697218258625,0.4981093325666083,0.7840067181326233,0.23454346365470052,0.052881193080862705,0.17812668350231917,0.025501575791053697,0.2251580812336115,0.06670113993222225,0.1433914303010344,0.20369478072760186,0.1378410360170863,0.41193869880429196,0.1677680812568218,0.15144300678922235,0.2234274366439122,0.4625511161435557,0.7148049154552849,0.08593134055077807,0.09483555280900209,0.21529375000777895,0.7185579658058835,0.2773434091867905,0.7981549095799958,0.7252379423170331,0.3279459010536027,0.13468962096305465,0.8128058236845703,0.6405272968324267,0.6554718235464346,0.08709490409610945,0.08603357325526677,0.5445895404958933,0.37605845455518216
D003123_Colorectal Neoplasms,0.2452931357199989,0.32764266899666983,0.29770455672984225,0.36014914469249854,0.4420377407085379,0.17468797227586802,1.0000000000000007,0.03447763450168957,0.31018517419373964,0.20844072130608932,0.3801044186414451,0.027256963340035873,0.4212885960685393,0.31018517419373964,0.2200257818466588,0.3712641662205127,0.35491798652010376,0.31950888397247834,0.43410573642571454,0.121847395067873,0.40395552479478253,0.38483761319609827,0.3603681902731626,0.23283268407046812,0.3739800513231446,0.3968265955237821,0.25483287590104176,0.4072371581984972,0.4444092382796685,0.36773923984479656,0.015736815121661474,0.2906417662497549,0.4522764024727475,0.47768323312847805,0.3326239817662886,0.30528260151942754,0.4611256947977943,0.42647963097473013,0.4459972597695964,0.38808291781440074,0.0,0.4071889428157034,0.34941599009137203,0.20378069655971265,0.20961391225180656,0.31483150237900853,0.29270266451580307,0.1559726186995166,0.5036326301235248,0.18690849685818908,0.3800505072711872,0.07641904259757362,0.41270963235066377,0.35095864647218605,0.3515960490183261,0.34035323836220915,0.5199356202494093,0.32621044235410124,0.3948650445662358,0.38551947972119754,0.4427952878012288,0.30076467718404487,0.14358640774853831,0.34885906662991834,0.36164476475390034,0.39483879628197716,0.12691623516256564,0.4436716756516845,0.17915011681750356,0.20058438987788252,0.4204878728291517,0.5266052133905995,0.18433127664488325,0.2375803509161619,0.2393493593905987,0.3513354858237188,0.4378419608475606,0.3052826015194275,0.38364436825264064
D002537_Atherosclerosis,0.014978017169086252,0.029930864720784975,0.02996864298173532,0.0444505423307933,0.037570695015561796,0.01495706008988526,0.03447763450168957,1.0,0.029926675949548905,0.014973818705886996,0.02773500981126146,0.0,0.04056161012507151,0.029926675949548905,0.01497172079782684,0.027670049622435435,0.03580574370197164,0.03001501125938321,0.03696421978047832,0.0,0.0404888165089458,0.026340883639518774,0.03051746193771538,0.014965432360392487,0.03471050672503116,0.03300267126181226,0.014969623771302395,0.03160303087599848,0.0834965721446866,0.04740454631399772,0.0,0.029972849402274206,0.023635972962353268,0.02115247723234508,0.03820803599504351,0.029951834992201328,0.0425435629811517,0.022388683141982252,0.040215055313333185,0.04815434123430768,0.0,0.021770017209205406,0.022479637051705654,0.014963337974774452,0.014965432360392487,0.02993924754260479,0.022489109474508957,0.014954969216863248,0.026026756245132097,0.0,0.04253287230050015,0.0,0.04836508334066745,0.038778336716474064,0.07519115803969124,0.028822513411141126,0.03723549116671275,0.02997705759455922,0.047227992455486235,0.0704360725060499,0.03643396256679452,0.029951834992201328,0.01494035761667992,0.034299717028501764,0.03131121455425747,0.012654173322741614,0.0074743509275193585,0.04053036481798876,0.014952879220456305,0.014965432360392487,0.035870472426760974,0.03980148760839956,0.014954969216863248,0.014980117725462762,0.014969623771302395,0.03639372626234195,0.02988071523335984,0.029951834992201328,0.03231169566888077
D003324_Atherosclerosis,0.5667463153089546,0.6841147722706332,0.6681620910357766,0.313164663127157,0.4964778684675501,0.4736327176013754,0.3101851741937397,0.029926675949548905,1.0000000000000009,0.6024367811985266,0.18260366323741978,0.011829557349794602,0.40095780920332474,1.0000000000000009,0.5497060509303721,0.551358345198577,0.14465883000170346,0.6450554333770534,0.5157733158845733,0.39395636684784874,0.4994458177346226,0.34438641696522015,0.2865435434342348,0.5612316360076185,0.45348806602065295,0.4425952487791823,0.5930281917402083,0.5142644298269676,0.2428496814605762,0.2012724578805544,0.0,0.7128249536481644,0.22635075315092665,0.2516267743358844,0.13721274142708412,0.6655464534801823,0.438851789891561,0.237856697191167,0.4227304036901766,0.20986009512760534,0.0,0.22151144514823765,0.5639810486591061,0.5317660229499026,0.5592722238120809,0.6535069874984164,0.6929345935985044,0.45790216955778074,0.35683095126353326,0.09522609976034276,0.3224597632569552,0.06888315463906333,0.46181303316052225,0.13926080601316965,0.29604475569046607,0.2711679346938089,0.27858361949212573,0.5974216469709885,0.3032871105712436,0.3096003853163495,0.3707181130401145,0.667227126342506,0.43146620753098863,0.15268838185513803,0.17920900930933203,0.35597550377276793,0.4062633009237405,0.536346505639156,0.4858062997053628,0.5612316360076186,0.5598890010828995,0.2650255843875595,0.5269930894605126,0.6007288726670638,0.5513090224440368,0.1415886228184604,0.17996388448831377,0.5526612595607742,0.45750319110432464
D050197_Atherosclerosis,0.6708719074961252,0.5352942016483844,0.6369374725135463,0.2340673507209453,0.3677845671904912,0.6830911337849497,0.20844072130608937,0.014973818705886996,0.6024367811985268,1.0000000000000009,0.13289568279034444,0.011837843095259459,0.2998850844881477,0.6024367811985268,0.7936107686140325,0.3949910789865473,0.10722974296455574,0.5696643597148822,0.374301349185272,0.5983483203547793,0.35732167670855575,0.25834746859201757,0.1873548063918545,0.6624650899520821,0.3534292077252601,0.38978133284429206,0.6293079540944433,0.40637600464000845,0.16253412940148176,0.1375289972034963,0.0,0.5929875872403408,0.15484033865804214,0.17578701438793345,0.1001210357171126,0.571548709187452,0.30538085785799174,0.16594582080363748,0.27298506953744467,0.14511219307821838,0.0,0.1523957860026138,0.45105205311375024,0.7295898721627905,0.7759104859058213,0.5147100230060073,0.5904312270513439,0.6589228460424815,0.2581894533049598,0.059999169567413815,0.23989128544040525,0.02808316389359807,0.30054714569988217,0.0870989675562486,0.19210647742172846,0.2913185860648363,0.17911534499729817,0.519848756704667,0.22217345051711396,0.20039242621145767,0.27141388623059676,0.5707077841616736,0.6493304839404046,0.10785552633408223,0.12307271817660274,0.2704845517638558,0.5973707354741044,0.34517115295618905,0.712847045583146,0.7571429759579188,0.40149566838209605,0.17208929998051617,0.7255429128895974,0.7124632622279756,0.6738582500432485,0.10490346387366746,0.11521281627194083,0.48100911474530056,0.37194390738844163
