,D003093_Ulcerative Colitis,D009062_Mouth Neoplasms,D003424_Crohn Disease,D043183_Irritable Bowel Syndrome,D002446_Celiac Disease,D015179_Colorectal Neoplasms,D003123_Colorectal Neoplasms,D002537_Atherosclerosis,D003324_Atherosclerosis,D050197_Atherosclerosis,D058729_Peripheral Arterial Disease,D003968_Diarrhea,D003967_Diarrhea,D003324_Coronary Artery Disease,D010190_Pancreatic Neoplasms,D005764_Gastroesophageal Reflux,D007822_Laryngeal Neoplasms,D015212_Inflammatory Bowel Diseases,D064726_Breast Neoplasms,D001943_Breast Neoplasms,D058922_Breast Neoplasms,D018567_Breast Neoplasms,D003248_Constipation,D010300_Parkinson Disease,D010302_Parkinson Disease,D020734_Parkinson Disease,D004938_Esophageal Neoplasms,D002583_Uterine Cervical Neoplasms,D020767_Thrombosis,D012851_Thrombosis,D020226_Thrombosis,D013927_Thrombosis,D002341_Thrombosis,D020225_Thrombosis,D013479_Thrombosis,D020244_Thrombosis,D020246_Thrombosis,D006502_Thrombosis,D012170_Thrombosis,D065666_Thrombosis,D003328_Thrombosis,D006258_Head and Neck Neoplasms,D008114_Liver Neoplasms,D008113_Liver Neoplasms,D000690_Amyotrophic Lateral Sclerosis,D016889_Endometrial Neoplasms,D008175_Lung Neoplasms,D012004_Rectal Neoplasms,D019586_Hypertension,D006974_Hypertension,D011559_Hypertension,D006975_Hypertension,D010547_Hypertension,D006978_Hypertension,D000081029_Hypertension,D065627_Hypertension,D000075222_Hypertension,D006977_Hypertension,D046110_Hypertension,D009798_Hypertension,D006976_Hypertension,D006973_Hypertension,D005759_Gastroenteritis,D005761_Gastroenteritis,D064129_Prostatic Neoplasms,D011471_Prostatic Neoplasms,D003327_Coronary Heart Disease,D013274_Stomach Neoplasms,D000544_Alzheimer Disease,D014062_Tongue Neoplasms,D000076385_Diverticular Diseases,D001749_Urinary Bladder Neoplasms,D013964_Thyroid Neoplasms,D010051_Ovarian Neoplasms,D010610_Pharyngeal Neoplasms,D001661_Biliary Tract Neoplasms,D054198_Acute Lymphoblastic Leukemia,D005706_Gallbladder Neoplasms
D003093_Ulcerative Colitis,0.9999999999999986,0.787213000246044,0.697675600559456,0.09715997662693132,0.17456060891306321,0.9057656309665144,0.1193057150363935,0.5308003964077918,0.9168316091842189,0.8639327500614237,0.9326113245760027,0.4077604727111051,0.7952273963566395,0.9168316091842189,0.782445739609754,0.2603102991707329,0.7530553736520679,0.7161868438753642,0.6701369926782309,0.8456944085498211,0.9429872702555133,0.5376624780943106,0.7469342647889395,0.8207526243325076,0.7831626172868463,0.7694135514289077,0.7893265328159949,0.8780764272286926,0.6297634245629609,0.7599193307689163,0.2613512374762315,0.7711482603691959,0.6964479410518569,0.3951987405052693,0.6403932953245535,0.7395336869663091,0.7971368962873967,0.7068558676243164,0.5806930408347017,0.5861832441933252,0.6129576754454577,0.7588848543592561,0.8437430305173338,0.8342349344772522,0.7962416892553942,0.7836436942192484,0.8096042344284512,0.5470037118829262,0.7869705746567979,0.6324415382542362,0.76715024636314,0.6903088152601804,0.40723044406027226,0.6615224974178361,0.5715500163429817,0.004435298541897929,0.3297474458599913,0.6689461438458876,0.9421391048642641,0.6592774440576892,0.7645539661584788,0.7776593473600791,0.5279475871910974,0.14209658095842803,0.3196008884794685,0.8583922243413291,0.9384879053171058,0.7852503574700855,0.7846626621410939,0.7845589392644948,0.008136548363661258,0.8506411391857257,0.9147700462618615,0.8953727602162386,0.742804279742185,0.16976204105416523,0.7940608291021124,0.7062236005384371
D009062_Mouth Neoplasms,0.7872130002460452,1.000000000000001,0.7415794286273494,0.10130359523701225,0.1911847660164059,0.7966517326473673,0.12471031303441572,0.562253041313068,0.811178832419204,0.7913135783632961,0.7786061469401462,0.44936604189961743,0.8243376801566626,0.811178832419204,0.8332748120430147,0.28186949915457415,0.9166306146945806,0.7936587659903687,0.7576376011390166,0.7769615194768498,0.7782427004853575,0.5725327689915769,0.8041605371033476,0.7808037668722058,0.8642755399417675,0.799062551600925,0.9002633158835127,0.8220888268758135,0.6401438092846444,0.7854691047720629,0.2844799285115024,0.7834846746896696,0.7328231253310019,0.42988445848314827,0.6893406323873332,0.7844571341241036,0.819388130431387,0.7520864396589831,0.6081089682170002,0.6225132312224645,0.6653470610447854,0.8446984774177901,0.7757857765392503,0.7699171410672142,0.836924294706351,0.8185712589966113,0.7397462781925385,0.5796780336822341,0.8329527946868553,0.6690047993123749,0.8130361733240374,0.7248734962158316,0.46452467719374674,0.7296601882667184,0.608719317015834,0.004868558404221407,0.3371858201500199,0.7174397423105517,0.7744318368909064,0.6907915039341967,0.7975584400227105,0.6906051242133014,0.5764000780037264,0.1549442508873307,0.32331830825008145,0.7938167114667798,0.8020409526402359,0.9155008060478347,0.8118127381373289,0.9232916423182855,0.008931362915720631,0.7868618043915014,0.7816266542795394,0.7866164104845309,0.9078589135875574,0.1815617452521246,0.8232569201994753,0.7308187920252633
D003424_Crohn Disease,0.6976756005594564,0.741579428627351,1.000000000000001,0.11278884334346967,0.2363161270930461,0.6766348340506928,0.13142391132658057,0.5713513557480254,0.6804007434763284,0.6318963919686523,0.6966016066360606,0.4460736991147893,0.7270736294584613,0.6804007434763284,0.7066346765087945,0.3203053560633161,0.7427021824462771,0.7298691491056225,0.7070049807851307,0.616608332563855,0.7090198084135165,0.6288602502715657,0.7598548595173564,0.7047479846570834,0.7154171667004776,0.7059192745831688,0.7130482399902229,0.6539529895580405,0.6569324309610429,0.7712070725395785,0.3285130396848235,0.7122575752065664,0.7372880938472135,0.5116911596058512,0.7008169882033269,0.7426978900382051,0.7527514399849982,0.7457603764623032,0.6660438152155795,0.6422823838642351,0.6787307985715344,0.7666127908459389,0.6287781030933773,0.6222543721372866,0.738526677902506,0.7524393603034074,0.5858821161434695,0.6200316375327483,0.8021636624131284,0.7077981438659792,0.7493198936234585,0.79588558082078,0.44773615022898117,0.7226082186922221,0.6214193434457743,0.006120531037861947,0.36733107390726216,0.7304592465533384,0.7091345965278846,0.6724372091854537,0.7054830264512203,0.5730764152673608,0.6296228319607619,0.1785564842389278,0.35160384917789106,0.638083953801922,0.6812892421801546,0.7095093855064495,0.7264041928499465,0.7528822353585147,0.006736862873660372,0.6280288022932624,0.6874960094032653,0.6697999184964191,0.7355754463720752,0.1997524818489359,0.7690580991753866,0.721182274459852
D043183_Irritable Bowel Syndrome,0.09715997662693146,0.10130359523701213,0.11278884334346984,0.9999999999999991,0.15316072995487356,0.09384100080977634,0.12817698770515326,0.12282883434171711,0.09386768210158349,0.08716782216693861,0.09722040153385016,0.11496339570052398,0.10912832401784503,0.09386768210158349,0.1233499064901475,0.18781335728044304,0.10883657899842743,0.11071891312590863,0.11350695160968402,0.08787899668473097,0.10123732120358032,0.1220228136826738,0.10978876249689952,0.12282527068779311,0.10950711772474009,0.10967722518600602,0.09675255663549806,0.0965652600635652,0.12488395023131708,0.1096442777410268,0.16186159252690363,0.09273526452925024,0.11629789917448635,0.14301413641377297,0.12193715540254194,0.11407093991435228,0.10402864885058691,0.11652413138217942,0.11942258503301839,0.132711844011801,0.12919963473241317,0.10923380542418319,0.09070475723973623,0.08878414892128439,0.10294496412316631,0.10450001279343113,0.08612034408006472,0.12973839699841452,0.11260388933542714,0.12964007678397207,0.11524613720139221,0.12089000180006695,0.13817004266552146,0.11755365568875682,0.12230176426434576,0.0,0.18045481952651166,0.12186551681587851,0.101712002409248,0.12182902063846249,0.11117860225279438,0.09939915666490973,0.14449028981216588,0.16830509798192259,0.13105658928415065,0.09114435975492848,0.09581115366882705,0.09731255038897349,0.10684711935475324,0.105107846271245,0.0,0.08999989795935719,0.10113126747962936,0.09204832178653777,0.10926158671290243,0.14299241482284836,0.1035918783816211,0.1104570775411557
D002446_Celiac Disease,0.17456060891306396,0.19118476601640644,0.23631612709304695,0.15316072995487337,1.000000000000003,0.16785070026302054,0.15231691544389298,0.2109998946162384,0.16836480883460844,0.15461718596057497,0.17624299386086079,0.18334567358825002,0.18094274694225507,0.16836480883460844,0.17758820014822638,0.21868167050819376,0.2029153892632061,0.22211514763074308,0.2242171898045629,0.1505626220292713,0.18178117161385823,0.21854289735242036,0.20365947976279797,0.17507237198590564,0.17746494193482415,0.1799130584395144,0.18088254083960384,0.15929327899349044,0.20515273567977363,0.20465409234072449,0.2395879710688674,0.17206930306278667,0.22157453863114177,0.26507091602836547,0.2195895933158826,0.21076889180252173,0.19405134934018872,0.21193638309531104,0.2658364042360698,0.22597920016259826,0.22947326579099964,0.20984613129750768,0.1522388434690212,0.15072236647096882,0.19083234948909772,0.19480205765079317,0.14258665399092285,0.28904076800200823,0.19585491354528986,0.21951239233926526,0.20046907377595585,0.23944927127587554,0.19067456923202025,0.21512578613135663,0.22355767114874703,0.0,0.24342863993366715,0.2412452737906343,0.18119382800743622,0.21437602299463593,0.1786726022821021,0.1388095591279851,0.2480563957157386,0.17574181014426604,0.22552713730675275,0.15558626404671932,0.16967044108433593,0.17750202878403393,0.1868520226728727,0.19689936848400827,0.0,0.1520264388509192,0.17172322837256476,0.16355451780254826,0.20440242642009238,0.18871208834812447,0.1980451119687972,0.2010242858180759
D015179_Colorectal Neoplasms,0.9057656309665159,0.7966517326473692,0.6766348340506934,0.09384100080977625,0.1678507002630197,0.9999999999999979,0.1252804587103812,0.5268810423476524,0.9170505755640632,0.8648657475014656,0.9164407172083417,0.4080232182279936,0.814567847640176,0.9170505755640632,0.7973134517267332,0.2504013915682091,0.7469539676452736,0.7030706102208768,0.6675193158696335,0.8667159583238863,0.9137895667331598,0.5199373195375789,0.7499241500780638,0.7974870972676412,0.7828431495626237,0.7523104212868487,0.808232243346546,0.8910874018815677,0.6171066987704145,0.7506795456905301,0.2530025834918501,0.7923480623008962,0.680853490317534,0.38701413148369984,0.6297892335027889,0.721934868164202,0.7741145139062082,0.6874067517109081,0.5481533310349959,0.5701870340761104,0.6027187394430408,0.7702763202856873,0.8674193940674302,0.8633406462907471,0.8043673936756944,0.7981417908716718,0.8197885203581183,0.5366718406489082,0.7817555237746789,0.6075528682649904,0.7569375872197567,0.6690888338849412,0.40716567893111677,0.6553896214032153,0.5646036029872493,0.004260056249941084,0.32033161574946517,0.6456173966562251,0.9069040810134513,0.6424903123827391,0.7447030576302767,0.7969682761360807,0.5153382083898219,0.13738608403331756,0.3328385285998472,0.8855892479655536,0.9106946855848634,0.8116888719198582,0.810877992613261,0.7766526834482151,0.007815066648192436,0.8544404683196096,0.9189214362476814,0.9096580582663271,0.7313208349971314,0.17233561302154576,0.7951727552106855,0.697501620226372
D003123_Colorectal Neoplasms,0.11930571503639358,0.12471031303441527,0.1314239113265806,0.12817698770515318,0.15231691544389303,0.12528045871038132,0.9999999999999984,0.12501729357149538,0.11569083167070425,0.10914235894492477,0.12020128553074512,0.11418425614930246,0.13520283244384698,0.11569083167070425,0.1326962703639486,0.16879951819628677,0.1218801725531088,0.14138655067831626,0.12425454902034275,0.11166715950586927,0.1237284046310193,0.12835154171891608,0.1264162689174818,0.11225363452476456,0.11445002783728471,0.1209716511216862,0.12121298855142446,0.11902606140969557,0.1293707521972137,0.12773317107304746,0.1441376590087974,0.1284291408013314,0.1319069935138141,0.14059026350492115,0.12713052504807468,0.1262342184801807,0.14532213465533952,0.1292392070381742,0.1308870722540952,0.13449348296295113,0.13242838188921358,0.136520223537014,0.10773475709574408,0.10873433847194626,0.11778682583138743,0.1244757880502693,0.10193818100220643,0.1335695153826554,0.1318309065948126,0.13800117719748137,0.13465911051562982,0.1313962489166332,0.17170013460895064,0.13248277532509037,0.12822728166444677,0.0,0.16168277743180856,0.1494010333695107,0.12430854195179537,0.137948315138407,0.12040008399598666,0.10141545615180828,0.14433997517033373,0.16978310870755725,0.13941110691416805,0.11628502829759729,0.1168578266725412,0.1324840203421318,0.1399306672786229,0.12137422008320163,0.0122333883972977,0.1083738593244802,0.12043580183840559,0.11493570419154407,0.12262371597256604,0.7150112154425086,0.1249257906177067,0.12944374486694088
D002537_Atherosclerosis,0.5308003964077915,0.5622530413130679,0.5713513557480244,0.1228288343417171,0.21099989461623803,0.5268810423476514,0.12501729357149555,0.9999999999999994,0.555635132299259,0.5132309668089508,0.5572965660327895,0.38722914669422265,0.5462196213347388,0.555635132299259,0.541331213733034,0.28816064758945487,0.5645202272973764,0.5561742180792429,0.5483988032867936,0.49336737349093157,0.5427497673970249,0.48072163668648626,0.5623362701357291,0.5798349247402902,0.5357811887104869,0.5935737675351881,0.5634541769728052,0.5167791378564499,0.5678807355092738,0.579601488610313,0.29643049973391045,0.5722310512140678,0.5647000602164134,0.37440236333799665,0.5348913736367272,0.5741603157275131,0.5634962272027713,0.5530654281618346,0.487837840634909,0.5242961308555344,0.5295942527955747,0.5714593455620386,0.48683602403639,0.48406862608248125,0.6011671491001266,0.5706216546008654,0.4724834971582539,0.4796017697254944,0.5753219268007825,0.5258777755441473,0.5599492004991016,0.5695088382110749,0.3650741701066011,0.5430758505434341,0.8985041681035532,0.007624762280892647,0.3493416165081058,0.5365601739074157,0.5421083107954716,0.5237638745955553,0.5305422481335729,0.46127223720594274,0.47882688174393107,0.1763342314873516,0.30557738130755746,0.4956787586710896,0.5669540343547987,0.5482197692896671,0.6230330130268897,0.566943608568186,0.0055950458778682936,0.4909713739764777,0.5288839632701205,0.5151328257990113,0.5582549189497201,0.19151965686274613,0.6509458301471274,0.5442876771996904
D003324_Atherosclerosis,0.9168316091842197,0.8111788324192032,0.6804007434763272,0.09386768210158337,0.16836480883460792,0.9170505755640627,0.11569083167070424,0.5556351322992595,0.999999999999998,0.9007717319042461,0.9460632619087698,0.40950646371523014,0.8122152739743143,0.999999999999998,0.8234087571974816,0.2512941168252758,0.7545926910887782,0.7228333732659278,0.6705005704230519,0.8844943958416926,0.9122321623767797,0.5211111241229872,0.7492754149562398,0.8284355979622531,0.7899952492625582,0.7789182642489083,0.8178563244298716,0.9193309784742405,0.6481832245871112,0.7764040984224875,0.25365352775641764,0.8132261793804713,0.7014173355607745,0.3853330618739597,0.6252211080822885,0.7433935865743195,0.7895667729009663,0.6887512027812026,0.560977514127327,0.5793899331336362,0.6057548900573438,0.7676715857757901,0.8664781905033738,0.8619411615894693,0.8397562680368972,0.811875310640008,0.833366884913026,0.5334993753386144,0.7909005459355324,0.616558036527858,0.7709029351750267,0.6734386475277334,0.3960839298349033,0.6634307489402437,0.5927225382649928,0.004273104342264258,0.3247507476490334,0.6470683142361262,0.9115725511592051,0.6445055879249784,0.7525702031641872,0.8107185149289515,0.5145435025773494,0.1380335388319405,0.31228503064897495,0.8882424565449327,0.949388130981222,0.8220917003864654,0.8142867480332298,0.788974646328223,0.007839003353520864,0.8768988481079097,0.9098983224901792,0.9187526065951502,0.7392535249702528,0.1646492497083333,0.8144095537263332,0.7012446934741753
D050197_Atherosclerosis,0.863932750061424,0.7913135783632955,0.631896391968651,0.08716782216693855,0.1546171859605746,0.8648657475014656,0.10914235894492486,0.5132309668089511,0.9007717319042458,0.9999999999999989,0.863083780390639,0.374295037297169,0.7711573493707371,0.9007717319042458,0.8163151443470824,0.23148783221248753,0.7436970784883803,0.6719709046476049,0.6168242988555475,0.9234923087850379,0.8379673029720419,0.4814639016018769,0.6947818692198727,0.8017134140031613,0.7869449849872748,0.7624052088603958,0.8276812533511293,0.9328760141216657,0.584686177054888,0.7156500921543075,0.23310258140850784,0.7742315381439061,0.6455955882434355,0.35320558173014105,0.5819109830408224,0.6920741181456271,0.7375891045302962,0.6368016559151964,0.5135888034697632,0.5387056703674475,0.5586941822157467,0.7008236848449667,0.9293421677614964,0.9276427179378312,0.7785403113848401,0.7531116437628343,0.9015828900305746,0.4927370071895831,0.7490253300745223,0.56952600043109,0.7217152160028816,0.6251456740888836,0.36707818984825463,0.6039057177984647,0.5466341490251162,0.003946185801485953,0.3061694521874399,0.6013210700353845,0.8363671420961191,0.6018501600227194,0.7284634242499645,0.8659156721335564,0.47326718548009916,0.12391476807153409,0.2924304768447975,0.9137794519299177,0.8865220825068009,0.8371292074375112,0.7792622016289071,0.7728559747595298,0.007239271792523846,0.9261100481384327,0.8555058186054851,0.9133203725675862,0.7304922551962062,0.1535697323543208,0.7573205984947162,0.7150329383281663
