,Laryngeal Neoplasms,Celiac Disease,Coronary Artery Disease,Pancreatic Neoplasms,Endometrial Neoplasms,Acute Lymphoblastic Leukemia,Irritable Bowel Syndrome,Gastroenteritis,Hypertension,Constipation,Gallbladder Neoplasms,Urinary Bladder Neoplasms,Head and Neck Neoplasms,Rectal Neoplasms,Peripheral Arterial Disease,Alzheimer Disease,Biliary Tract Neoplasms,Parkinson Disease,Stomach Neoplasms,Ovarian Neoplasms,Esophageal Neoplasms,Liver Neoplasms,Lung Neoplasms,Crohn Disease,Prostatic Neoplasms,Pharyngeal Neoplasms,Gastroesophageal Reflux,Ulcerative Colitis,Uterine Cervical Neoplasms,Tongue Neoplasms,Thyroid Neoplasms,Mouth Neoplasms,Diverticular Diseases,Atherosclerosis,Inflammatory Bowel Diseases,Amyotrophic Lateral Sclerosis,Thrombosis,Breast Neoplasms,Colorectal Neoplasms,Coronary Heart Disease,Diarrhea
Laryngeal Neoplasms,0.9999999999999996,0.2029153892632054,0.7545926910887776,0.770271062317247,0.7820884608692298,0.7974349237465548,0.1088365789984274,0.5912222347214564,0.8008868998342439,0.7671566798969576,0.722729986223356,0.7329506176696239,0.7909723925435219,0.590233192701792,0.7585429014464306,0.7783111517954098,0.1843014117544646,0.8484123082598823,0.8500494191367284,0.7413512141487618,0.8656395924716838,0.732281818186449,0.6845946124673011,0.7427021824462768,0.751681928540036,0.98122084255461,0.2920721292999909,0.7530553736520671,0.7664576216988703,0.9424287368188112,0.7452101701961896,0.9166306146945808,0.0077216911761081,0.7545926910887776,0.7326927385382135,0.7997670323910219,0.7799074335369254,0.7544955196705744,0.7469539676452716,0.7550089445548012,0.7776670951352692
Celiac Disease,0.2029153892632061,1.000000000000003,0.1683648088346084,0.1775882001482263,0.1948020576507931,0.1980451119687972,0.1531607299548733,0.2480563957157386,0.2434286399336671,0.2036594797627979,0.2010242858180759,0.1520264388509192,0.2098461312975076,0.2890407680020082,0.1762429938608607,0.1868520226728727,0.1887120883481244,0.1799130584395144,0.1775020287840339,0.1635545178025482,0.1808825408396038,0.1522388434690212,0.1425866539909228,0.2363161270930469,0.2255271373067527,0.2044024264200923,0.2186816705081937,0.1745606089130639,0.1592932789934904,0.1968993684840082,0.1717232283725647,0.1911847660164064,0.0,0.2109998946162384,0.222115147630743,0.1908323494890977,0.2658364042360698,0.2242171898045629,0.1678507002630205,0.1696704410843359,0.18334567358825
Coronary Artery Disease,0.7545926910887782,0.1683648088346079,0.999999999999998,0.8234087571974816,0.811875310640008,0.8144095537263332,0.0938676821015833,0.5145435025773494,0.9115725511592052,0.7492754149562398,0.7012446934741753,0.8768988481079097,0.7676715857757901,0.5334993753386144,0.9460632619087698,0.8142867480332298,0.1646492497083333,0.8284355979622531,0.8220917003864654,0.9187526065951502,0.8178563244298716,0.8664781905033738,0.833366884913026,0.6804007434763272,0.8882424565449327,0.7392535249702528,0.2512941168252758,0.9168316091842196,0.9193309784742404,0.788974646328223,0.9098983224901792,0.8111788324192032,0.0078390033535208,0.999999999999998,0.7228333732659278,0.8397562680368972,0.8132261793804713,0.9122321623767796,0.9170505755640628,0.949388130981222,0.8122152739743143
Pancreatic Neoplasms,0.7702710623172473,0.1775882001482261,0.8234087571974836,1.0000000000000009,0.8548841523622034,0.8451060505955985,0.1233499064901476,0.540959623581742,0.8368523350629581,0.8123895059957837,0.738916555272579,0.8142480936338741,0.8144109850837841,0.5551429527271189,0.7789959004797128,0.8075523893339313,0.1821512871536882,0.8108902780802315,0.8825026425932125,0.806978136576646,0.8564373984497967,0.8099737611937011,0.7716278998335544,0.7066346765087926,0.8078303669276697,0.7576348493303254,0.2661532489700923,0.7824457396097564,0.8054805631112841,0.8138759715918372,0.794205234061476,0.8332748120430156,0.0082776692194126,0.8234087571974836,0.7701995741944941,0.8117458651180589,0.8612208629941317,0.8118694948761612,0.7973134517267324,0.8009602437867511,0.8576663473289969
Endometrial Neoplasms,0.7820884608692287,0.1948020576507922,0.8118753106400074,0.8548841523622026,0.9999999999999996,0.8718251511762461,0.1045000127934311,0.5757043420887586,0.8584823060920818,0.8477014510676507,0.76657302666147,0.7510207206286732,0.8522553785498701,0.5918142633132762,0.7841028968595762,0.8083456960559973,0.1824696613027169,0.7979283915322555,0.818709593283694,0.8082413603493536,0.8072472537974209,0.7607797562130538,0.7032597946476664,0.7524393603034055,0.7886016406450475,0.7708917335041393,0.2880183502054619,0.7836436942192492,0.7801369134476709,0.8170746254840222,0.7992965929821494,0.8185712589966114,0.0090800345695734,0.8118753106400074,0.7781464979566428,0.7970490315594829,0.921954974157612,0.7957184724352355,0.7981417908716699,0.7822710198212147,0.866253787904617
Acute Lymphoblastic Leukemia,0.7974349237465551,0.1980451119687968,0.8144095537263342,0.8451060505955982,0.8718251511762459,0.9999999999999988,0.1035918783816211,0.5922553909185782,0.8706716196548115,0.8642316378518327,0.7541609204179945,0.7368232965902539,0.8707695592547915,0.5977556231343821,0.7967811643627529,0.8514973639924286,0.1850690875457958,0.8183408055771514,0.8294170187215001,0.7916213272357462,0.8205497897659958,0.7410576087523651,0.7068887492034001,0.7690580991753853,0.7624929791073571,0.7861608244784387,0.2916576762543831,0.794060829102112,0.7805233211212257,0.8411518050821195,0.7953534778268874,0.823256920199476,0.0092415126914996,0.8144095537263342,0.7959965251049043,0.8459989698310723,0.8781626639466271,0.7901485771109811,0.7951727552106841,0.8082710436041814,0.859083662489906
Irritable Bowel Syndrome,0.1088365789984274,0.1531607299548735,0.0938676821015834,0.1233499064901475,0.1045000127934311,0.1035918783816211,0.9999999999999992,0.1683050979819225,0.1804548195265116,0.1097887624968995,0.1104570775411557,0.0899998979593571,0.1092338054241831,0.1297383969984145,0.0972204015338501,0.1068471193547532,0.1429924148228483,0.1228252706877931,0.0973125503889734,0.0920483217865377,0.096752556635498,0.0907047572397362,0.0861203440800647,0.1127888433434698,0.1310565892841506,0.1092615867129024,0.187813357280443,0.0971599766269314,0.0965652600635652,0.105107846271245,0.1011312674796293,0.1013035952370121,0.0,0.1228288343417171,0.1107189131259086,0.1029449641231663,0.1618615925269036,0.1220228136826738,0.1281769877051532,0.095811153668827,0.1149633957005239
Gastroenteritis,0.5912222347214554,0.248056395715738,0.5145435025773495,0.5409596235817422,0.5757043420887586,0.5922553909185775,0.1683050979819223,1.0000000000000022,0.6324044557418923,0.6052088205782573,0.5911946374786662,0.4675713244982083,0.6213337009527014,0.5491840110097286,0.5312245325619466,0.5557484949986029,0.2141243268757632,0.5445651823012091,0.5436227003885323,0.503418549269439,0.5489003767894509,0.4659121370100972,0.4372637185112151,0.629622831960761,0.4799073018816685,0.5851628232595002,0.3549499514131727,0.5279475871910976,0.4902448798220075,0.58776202101946,0.5215243460084781,0.5764000780037261,0.0111207257711433,0.5145435025773495,0.6064325377691638,0.5715117195947137,0.5969152294826836,0.5848099130562895,0.5153382083898209,0.5205483537515984,0.5577903672482916
Hypertension,0.8008868998342444,0.243428639933667,0.9115725511592088,0.8368523350629576,0.8584823060920814,0.8706716196548119,0.1804548195265118,0.6324044557418924,1.000000000000003,0.82687053273242,0.7551743411884246,0.8599820981003413,0.8399721108471432,0.620531395075055,0.9525382425224136,0.8122901203485771,0.2266517250825759,0.835192337704186,0.8183701915069848,0.8848822031988229,0.810537716582747,0.8647894576156575,0.8712917169317901,0.8021636624131271,0.8438569261841299,0.7910636450956016,0.329185621575682,0.9421391048642692,0.8624908155131931,0.8373957224376388,0.9297585781020784,0.8329527946868555,0.0112870843214456,0.9115725511592088,0.8016769497724774,0.8042561260353501,0.8582516359189224,0.987008412210741,0.9069040810134532,0.9206653204441118,0.8516568546117962
Constipation,0.7671566798969575,0.2036594797627972,0.7492754149562404,0.812389505995784,0.8477014510676515,0.8642316378518328,0.1097887624968996,0.6052088205782571,0.8268705327324208,1.0000000000000002,0.732761115994635,0.6926977846799517,0.8710126796317126,0.5968693762022018,0.7335778844294388,0.7705552079731632,0.1891925981237587,0.767342630767603,0.7742013606629895,0.7422297704417975,0.7918815401025756,0.6940557196425848,0.6577327979106791,0.7598548595173557,0.7207879230316077,0.7549131092869792,0.3019229655036168,0.7469342647889393,0.7230425786304329,0.78790955401128,0.7381887941472662,0.8041605371033475,0.0097653642401236,0.7492754149562404,0.7952834338225494,0.7813979089120063,0.858890895293046,0.7951282493350216,0.7499241500780619,0.7379178016779074,0.8526609588554847
Gallbladder Neoplasms,0.7227299862233567,0.2010242858180747,0.7012446934741763,0.7389165552725804,0.7665730266614716,0.7541609204179948,0.1104570775411557,0.5911946374786663,0.7551743411884257,0.7327611159946359,1.0000000000000004,0.7166981479392635,0.7351400725798097,0.5786512887476024,0.7065250806470438,0.7211893326312394,0.1886145060420693,0.7113615321063304,0.7142318194360612,0.75912030154458,0.7161612158744933,0.7166709707430695,0.6601145818112616,0.7211822744598507,0.7360423861949181,0.7118213311908411,0.2945437059432881,0.7062236005384372,0.7401031445429684,0.7335573760704919,0.7031222228498443,0.7308187920252636,0.009853962491172,0.7150329383281673,0.7050804006235395,0.7258776593129795,0.774879240545662,0.7132359559425395,0.6975016202263711,0.7026512453582224,0.7425887743861797
Urinary Bladder Neoplasms,0.7329506176696228,0.1520264388509191,0.8768988481079119,0.8142480936338734,0.7510207206286732,0.7368232965902534,0.0899998979593573,0.4675713244982083,0.8599820981003403,0.6926977846799508,0.716698147939262,1.0000000000000024,0.6996528767917882,0.4866289198307268,0.8489926580377585,0.7510619494217091,0.1515143356178289,0.783357648053807,0.8289418963192622,0.8905649941896618,0.8300431818295225,0.9362300277313464,0.8920982413369343,0.6280288022932612,0.919549072713928,0.7194822152490351,0.2268248129508987,0.8506411391857277,0.9196239990243446,0.7571049199905285,0.8505709369121444,0.7868618043915001,0.0071580952710132,0.9261100481384348,0.6668439365416333,0.7618527932966516,0.773124191892859,0.9137200142987592,0.8544404683196108,0.8702308706550042,0.7752871319302899
