,D003093_Ulcerative Colitis,D009062_Mouth Neoplasms,D003424_Crohn Disease,D043183_Irritable Bowel Syndrome,D002446_Celiac Disease,D015179_Colorectal Neoplasms,D003123_Colorectal Neoplasms,D003324_Atherosclerosis,D050197_Atherosclerosis,D058729_Peripheral Arterial Disease,D003967_Diarrhea,D003324_Coronary Artery Disease,D010190_Pancreatic Neoplasms,D005764_Gastroesophageal Reflux,D007822_Laryngeal Neoplasms,D015212_Inflammatory Bowel Diseases,D064726_Breast Neoplasms,D001943_Breast Neoplasms,D058922_Breast Neoplasms,D018567_Breast Neoplasms,D003248_Constipation,D010300_Parkinson Disease,D010302_Parkinson Disease,D020734_Parkinson Disease,D004938_Esophageal Neoplasms,D002583_Uterine Cervical Neoplasms,D020767_Thrombosis,D012851_Thrombosis,D013927_Thrombosis,D002341_Thrombosis,D020225_Thrombosis,D013479_Thrombosis,D020244_Thrombosis,D020246_Thrombosis,D006502_Thrombosis,D012170_Thrombosis,D065666_Thrombosis,D003328_Thrombosis,D006258_Head and Neck Neoplasms,D008114_Liver Neoplasms,D008113_Liver Neoplasms,D000690_Amyotrophic Lateral Sclerosis,D016889_Endometrial Neoplasms,D008175_Lung Neoplasms,D012004_Rectal Neoplasms,D019586_Hypertension,D006974_Hypertension,D006975_Hypertension,D010547_Hypertension,D006978_Hypertension,D000081029_Hypertension,D065627_Hypertension,D000075222_Hypertension,D006977_Hypertension,D046110_Hypertension,D009798_Hypertension,D006976_Hypertension,D006973_Hypertension,D005759_Gastroenteritis,D005761_Gastroenteritis,D064129_Prostatic Neoplasms,D011471_Prostatic Neoplasms,D003327_Coronary Heart Disease,D013274_Stomach Neoplasms,D000544_Alzheimer Disease,D014062_Tongue Neoplasms,D000076385_Diverticular Diseases,D001749_Urinary Bladder Neoplasms,D013964_Thyroid Neoplasms,D010051_Ovarian Neoplasms,D010610_Pharyngeal Neoplasms,D001661_Biliary Tract Neoplasms,D054198_Acute Lymphoblastic Leukemia,D005706_Gallbladder Neoplasms
D003093_Ulcerative Colitis,1.000000000000002,0.5185192906406766,0.677779772925486,0.2244085899711334,0.45435813278105985,0.5299195370725295,0.2253402175237525,0.5716558456857319,0.5930448299731993,0.07956272263521522,0.396304450792759,0.5716558456857319,0.5773780709682553,0.31083346966660597,0.025391835805951283,0.5365214849169829,0.46135321738243246,0.5335462320488511,0.3327575247865004,0.17859431827247363,0.18475274304048994,0.5538953880622768,0.3579037549406365,0.426864217806085,0.5280242366617971,0.5478013074461381,0.32076674700798335,0.13381142984275515,0.5310096603540758,0.35541166489778453,0.13994334305350264,0.08977369642581769,0.6322402187088296,0.4633679581104864,0.4231972634325213,0.27746654207468807,0.13926984075895513,0.3538224654412258,0.5355148847218776,0.6284854470423434,0.5632970162194019,0.4610726850697488,0.47186063402183853,0.5523855313513528,0.39423105520853524,0.06596992457003137,0.1321687128838636,0.29918765100429845,0.026520907545071738,0.16077445765815362,0.10314212462587935,0.17954739285163535,0.5164596337426145,0.1732086447574387,0.18075647986539942,0.18075647986539942,0.4912932079235404,0.6418380552958397,0.11934408395282282,0.09170453444739675,0.22195586091992683,0.5281698284765153,0.4732322549528304,0.5451727651574466,0.6031809518343931,0.41886459540269494,0.32764324609519846,0.5192284101804987,0.582839673737082,0.5493871213552226,0.025391835805951283,0.3707459992884133,0.4163815445026877,0.45410827209105703
D009062_Mouth Neoplasms,0.5185192906406757,0.9999999999999984,0.49847861622528206,0.15971914124998493,0.3806639533124643,0.6021891988868544,0.2165159860833364,0.49145213643112406,0.4645930865234778,0.05096471914376255,0.24911189772600684,0.49145213643112406,0.6647788673698054,0.3219942757082028,0.1341862600304233,0.4036552478658145,0.5818139416399092,0.5904959332379496,0.2673126333640891,0.2071042173948785,0.153848847207624,0.5586390961538164,0.3438883891897037,0.4051768927080831,0.6068588172016031,0.5301637583869837,0.3515470711415477,0.16428571428571426,0.5265986053419777,0.36283725640508374,0.14940357616679917,0.06900655593423542,0.4645450193683624,0.43028229936038187,0.3537637764438434,0.27144835701531844,0.15494494670022801,0.36175967269759846,0.5358065020088286,0.6535502398008165,0.6242857161623165,0.5406903638898236,0.5286406307143338,0.6029075777099747,0.5742992572560532,0.021128856368212913,0.17181411259181903,0.266018480760338,0.05096471914376255,0.14712247158412492,0.13514061940433383,0.1897680288191474,0.36343992641548933,0.2034093899976344,0.1528367539536003,0.19451950503185494,0.4385073546087168,0.5928767400179514,0.11467061807346572,0.08811342210628016,0.2028610297780167,0.5618605101639499,0.4108741011682343,0.6311554462251359,0.5393133646088306,0.620232577222468,0.30630441365150757,0.6354354948096473,0.6736907797434806,0.644398577716542,0.1341862600304233,0.2587338296409553,0.4839017043426668,0.6813212210637337
D003424_Crohn Disease,0.6777797729254855,0.4984786162252821,1.0000000000000002,0.23371317622140134,0.458437384126595,0.5262766487857152,0.29429097949967337,0.5613119448724723,0.6033975305755799,0.11473145724235502,0.42861077692959315,0.5613119448724723,0.6049866937132106,0.28889806208593954,0.04119262772858173,0.6021546919119037,0.4703758722562027,0.4944272110290137,0.33038491827271355,0.11322770341445958,0.20647404740283803,0.533589436182601,0.3677257115231757,0.33015809594253126,0.47191168232183245,0.534499700704476,0.37401807742736637,0.20099944202632342,0.566393844969224,0.42282289908339643,0.1597597885741242,0.09709195467257717,0.5605988661721565,0.5011412315272529,0.4348110704683628,0.2673487446653021,0.1744055478566478,0.4268194394905464,0.4954053165141131,0.5940988044009484,0.544749058223573,0.44565180708496355,0.4855330447803077,0.5561194275452829,0.4098637786075793,0.047565149415449405,0.19339342827393985,0.25596398788081615,0.043024296465883134,0.13248047544678343,0.1723957067919028,0.22816609348055641,0.5113585569372097,0.19426652322225715,0.14075392310870202,0.21113088466305305,0.4747023029340973,0.6278992955084769,0.14341432155294379,0.03967207703959858,0.20492028060708417,0.49322217576754496,0.536475181145923,0.5187033387452096,0.5617472411683813,0.4126734940936332,0.363929473739661,0.4965331688031107,0.5851925994834065,0.5309627376619498,0.04119262772858173,0.22369839826229024,0.3624040300739894,0.41496267099616774
D043183_Irritable Bowel Syndrome,0.22440858997113342,0.15971914124998496,0.23371317622140136,1.0,0.3095238095238095,0.14231681131994256,0.1461568190483739,0.21008772061349154,0.2397373207714471,0.11396057645963795,0.22281245492773064,0.21008772061349154,0.18273644999314081,0.22956556456066254,0.0,0.28274234838873125,0.15487803854332519,0.1342768522532781,0.2812843385630972,0.0,0.10585122480499261,0.21278980968455719,0.15379156298021623,0.05558301073665106,0.1313204098072165,0.17057297884317546,0.0646095738380922,0.0,0.2616689507558323,0.11454053224818188,0.03340765523905304,0.0,0.23971251736537255,0.21380899352993948,0.14547859349066158,0.13006649542861795,0.0,0.07796811755854503,0.1616483804899048,0.18050333413564754,0.166488888838294,0.14040237001200886,0.13134182066062372,0.14766670528823342,0.08743299939759483,0.0,0.0,0.09594119455666704,0.0,0.03289758474798845,0.04029114820126901,0.03857583749052298,0.1979596313185712,0.027565892320998563,0.03106848830006,0.21747941810041999,0.2679049873056547,0.16297177312966368,0.0,0.0,0.02326210525996177,0.1287350055187144,0.13474888832625692,0.13565237905857336,0.1943905450738258,0.13560625999842296,0.1014692578863682,0.1526562024978318,0.18690054334010692,0.1381273138837654,0.0,0.050308385317915316,0.09371974928126207,0.11478278228033127
D002446_Celiac Disease,0.4543581327810606,0.38066395331246433,0.4584373841265951,0.3095238095238095,1.0000000000000004,0.3959326673900967,0.18269602381046735,0.48751124911592286,0.48243436155241837,0.09496714704969829,0.41909961760215997,0.48751124911592286,0.39124342498531445,0.2782612903765607,0.1272937693043289,0.42773842448551663,0.271897000998282,0.361387083842156,0.3437919693548966,0.0705674832033284,0.17641870800832102,0.4544770009312149,0.2563192716336937,0.25938738343770495,0.3283010245180413,0.34683172364779025,0.19382872151427658,0.17036708399998393,0.4744930307039093,0.2163543386910102,0.14476650603589652,0.10286889997472794,0.4161675648704386,0.3518939685180254,0.2606491466707686,0.20955157596832896,0.16798421022632318,0.2144123232859988,0.37084040230036996,0.41886030100707966,0.3756672363530737,0.3198053983606869,0.3256182637211297,0.4010700637458193,0.24772683162651862,0.0944911182523068,0.23385358667337128,0.25584318548444546,0.03798685881987931,0.13159033899195377,0.1477342100713197,0.12215681871998943,0.39591926263714244,0.24809303088898702,0.1553424415003,0.17605476703367334,0.4322200461864565,0.43668077671922717,0.1329540058695776,0.026270346874636686,0.15508070173307847,0.36872248494249077,0.5226623547200271,0.3878266734623317,0.4415785221430119,0.23833827514874328,0.23676160173485908,0.3698977214370541,0.3688170721911444,0.3557824751551533,0.1272937693043289,0.18446407949902285,0.3180791490757986,0.2573916935983186
D015179_Colorectal Neoplasms,0.529919537072529,0.6021891988868548,0.5262766487857147,0.14231681131994256,0.39593266739009664,1.000000000000001,0.2912080141548259,0.5349977504937614,0.5416214348476801,0.08733041615802098,0.309781898436596,0.5349977504937614,0.6947882069254372,0.23349511886820212,0.09197375853746456,0.4483432966284073,0.49690013742115985,0.77364962244598,0.21914674729687464,0.2027901183074975,0.1784553041105978,0.5338880735239033,0.2922772980136755,0.36290466786889386,0.664181932081993,0.5882116746604611,0.23105456304590036,0.12239617863553966,0.4555870935242718,0.2721020307438243,0.10240399006488007,0.05912297123005028,0.431687493981439,0.35841396522708024,0.27592127561239377,0.23256969116899467,0.12551163004542334,0.27185625995098867,0.5290173912272466,0.6905537135818238,0.7125074595045237,0.5678536626172974,0.5837701952620414,0.7753565171507772,0.47906264861856,0.028964222318174613,0.12800498758110007,0.2558557948944748,0.05239824969481258,0.14117666997637132,0.12967905188527773,0.2512726277277137,0.45510204114303066,0.15632004356079574,0.1476123533330492,0.16665910860182973,0.44673561994594496,0.6571069073397414,0.08733041615802098,0.11474969906056755,0.19965396137125474,0.7746038389791201,0.41304376864153675,0.7548609322314478,0.5826210665231423,0.4345660326430462,0.3615749453973903,0.778391530913851,0.6324854233554794,0.732288864688873,0.09197375853746456,0.2672965486277605,0.5497451628649533,0.5117701235467441
D003123_Colorectal Neoplasms,0.22534021752375244,0.21651598608333633,0.29429097949967326,0.1461568190483739,0.18269602381046735,0.2912080141548257,0.9999999999999996,0.18600600354398641,0.20893771548120857,0.17488921119872666,0.17096918819713053,0.18600600354398641,0.3415565103788683,0.11743400437730696,0.02790727860929738,0.47841313067230723,0.22711936392123672,0.23150794869251412,0.16787246537107495,0.16244422225365657,0.08122211112682828,0.19351535285851215,0.1337422295679131,0.1478538159716897,0.28736745134289815,0.2835833455378118,0.09915286281858925,0.11438580396855505,0.1873990372823704,0.1757792383777705,0.17089648175616576,0.03946685189819292,0.21970252763092676,0.20507577810739894,0.13023396684338776,0.19960610498447504,0.09667364890456634,0.16950913423700584,0.23834477918167413,0.31607417556284073,0.2555016071947854,0.20349757422909617,0.2687510380209026,0.2909640191273558,0.35221923254178655,0.0,0.051268944526849734,0.1374201061586155,0.02914820186645445,0.08414361096995514,0.16488712959331456,0.26640125031280226,0.13857456059102743,0.1128104078042801,0.09535829987414622,0.20660964972731682,0.20282880909426948,0.29820101551737477,0.02914820186645445,0.0,0.16659585014905853,0.25853889238589434,0.2506568767572581,0.2508817366242466,0.26149106202540284,0.15765733776240196,0.1751843830732227,0.2703153716924065,0.2753532320414679,0.26657664920387414,0.02790727860929738,0.1029407899733699,0.22663600359334468,0.22419219017485867
D003324_Atherosclerosis,0.5716558456857316,0.4914521364311241,0.5613119448724723,0.2100877206134915,0.48751124911592275,0.5349977504937619,0.1860060035439865,1.0000000000000004,0.5785617573218649,0.07735016503266184,0.3960859758313045,1.0000000000000004,0.5295188461038604,0.32579806559050617,0.03702857239584844,0.45025024217561277,0.4158186227380204,0.5232095869373448,0.3022905106110886,0.08980747950230206,0.20955078550537148,0.5384921261918233,0.3688278682422477,0.37726687483148197,0.5314971602284451,0.45731341021959404,0.292356143637468,0.19513540711235805,0.5517641225070459,0.3282516299423175,0.20407749361545394,0.08727718212920478,0.5446053032435689,0.4474588008161065,0.3456000090279189,0.2991778078727832,0.2137845624045064,0.31752279329205146,0.49910942834325855,0.5481793351445416,0.5345934403274955,0.48707559337572837,0.4717393655860155,0.5580597694180939,0.38574059054667115,0.04275691248090128,0.1738437908576089,0.36466976381167004,0.06445847086055154,0.23817673921850296,0.10938965244098751,0.235648391748853,0.5728153684774657,0.2058123102915953,0.2530509520379027,0.18275902091626303,0.526121289848638,0.6424252426614615,0.10313355337688246,0.14264692084551614,0.18420542374314428,0.5523167386858666,0.5626183545175988,0.5347337815670263,0.5912938349623589,0.4072164011943628,0.3185318239233242,0.4941620602793605,0.522654130781335,0.5099606741512541,0.03702857239584844,0.2997309344384565,0.424078706217778,0.4084280097620114
D050197_Atherosclerosis,0.593044829973199,0.4645930865234776,0.6033975305755798,0.23973732077144705,0.4824343615524182,0.5416214348476803,0.20893771548120862,0.5785617573218649,1.0,0.0849974324080101,0.4352452376057131,0.5785617573218649,0.5626490916077322,0.33206564523020526,0.08137884587711595,0.508282639782823,0.3465470960626612,0.5168250843084334,0.3205213108062092,0.10526543599755585,0.19079360274556997,0.5172743021979422,0.3135279607519822,0.331652460518781,0.4661468590486682,0.4961648685189271,0.1927560584833857,0.15883524325588977,0.5412593777472842,0.23730553363753407,0.15780817986896015,0.07672471168645814,0.5860320776324088,0.4186069613366102,0.2757838665835596,0.3071984064528205,0.1566136619116465,0.23745594777459375,0.4538930991181851,0.5592252923297611,0.5349104703636474,0.45766094323859996,0.5224598597521842,0.5574842372606893,0.3016048240472807,0.023492049286746978,0.215948035610156,0.38164099447085625,0.04249871620400505,0.2617242158996888,0.18030678251744744,0.2541506074613926,0.5802310537301001,0.212453389307727,0.27806897609774955,0.2548965614229371,0.5435016562828785,0.5890616604068942,0.1416623873466835,0.07837489427241548,0.2197670243377898,0.5073487275523286,0.47510217523205933,0.53052675351232,0.5709945606014671,0.3493991299472435,0.27434286163044574,0.5123634458036315,0.5055561221517378,0.5182327844457698,0.08137884587711595,0.22930405139531015,0.39398645546225064,0.3502254852037322
D058729_Peripheral Arterial Disease,0.07956272263521522,0.05096471914376255,0.11473145724235502,0.11396057645963795,0.09496714704969829,0.08733041615802098,0.1748892111987267,0.07735016503266186,0.0849974324080101,1.0000000000000002,0.050783671611902566,0.07735016503266186,0.11213327559218685,0.09988907373180403,0.0,0.13880022589755148,0.06589329806578537,0.07934509067835885,0.14959151840135315,0.0844400661841498,0.0422200330920749,0.06286946134619316,0.04907329048119165,0.035471922891501605,0.06983829814521599,0.06803508249092068,0.034360406637202474,0.05096471914376255,0.10019501341827017,0.15228622596829317,0.0,0.12309149097933275,0.06374147888161394,0.08528028654224418,0.029012942659282975,0.13834289277321493,0.050251890762960605,0.12439408271422457,0.07585341080633831,0.08861036804732014,0.06129793302597966,0.037334115053358465,0.07858089537765109,0.06980579556136168,0.0697474050906156,0.0,0.053300179088902604,0.09184151623839407,0.0,0.052486388108147805,0.38569460791993504,0.21541010921383236,0.06649143406552101,0.04397994971335425,0.04956815970966097,0.1487044791289829,0.17097139802268063,0.08000400030002501,0.09090909090909091,0.0,0.07422696190252054,0.07607037635269004,0.09772038812426305,0.08324089477650336,0.06892000445529553,0.039336862882433,0.18212504816617942,0.06557251176944726,0.07156562669645132,0.0801363477855322,0.0,0.05350961085477669,0.04077954358702776,0.049944536865902014
