,Endometrial Neoplasms,Crohn Disease,Inflammatory Bowel Diseases,Constipation,Parkinson Disease,Liver Neoplasms,Urinary Bladder Neoplasms,Pharyngeal Neoplasms,Lung Neoplasms,Biliary Tract Neoplasms,Atherosclerosis,Alzheimer Disease,Irritable Bowel Syndrome,Hypertension,Laryngeal Neoplasms,Rectal Neoplasms,Acute Lymphoblastic Leukemia,Tongue Neoplasms,Pancreatic Neoplasms,Esophageal Neoplasms,Prostatic Neoplasms,Diarrhea,Peripheral Arterial Disease,Breast Neoplasms,Stomach Neoplasms,Gastroesophageal Reflux,Head and Neck Neoplasms,Gastroenteritis,Coronary Heart Disease,Thyroid Neoplasms,Gallbladder Neoplasms,Uterine Cervical Neoplasms,Colorectal Neoplasms,Mouth Neoplasms,Amyotrophic Lateral Sclerosis,Thrombosis,Ovarian Neoplasms,Celiac Disease,Ulcerative Colitis,Diverticular Diseases,Coronary Artery Disease
Endometrial Neoplasms,1.0000000000000002,0.4855330447803077,0.3824283014145971,0.1824728401787118,0.4673560282011781,0.5754793509160916,0.6167347046564947,0.0501569862575519,0.5958517833167953,0.2389746830178013,0.5224598597521847,0.4947931090052863,0.1313418206606237,0.4956082945493216,0.0501569862575519,0.4521671172387858,0.4641174098085923,0.4278633442453979,0.5961002208218987,0.5298926404350229,0.5380906736672602,0.2706974898386594,0.078580895377651,0.5566823216463548,0.5456404323015039,0.2926071768825647,0.4808240677146094,0.1178713430664766,0.4307894089050912,0.5722105616991098,0.4820823160114387,0.6096515863020688,0.5837701952620417,0.528640630714334,0.4966183739977575,0.4378492933694567,0.5902299924959911,0.3256182637211294,0.4718606340218383,0.3731603980125826,0.4717393655860155
Crohn Disease,0.4855330447803077,1.0000000000000002,0.6021546919119037,0.206474047402838,0.533589436182601,0.5940988044009484,0.4965331688031107,0.0411926277285817,0.5561194275452829,0.2236983982622902,0.6033975305755799,0.5617472411683813,0.2337131762214013,0.6278992955084769,0.0411926277285817,0.4098637786075793,0.3624040300739894,0.4126734940936332,0.6049866937132106,0.4719116823218324,0.4932221757675449,0.4286107769295931,0.114731457242355,0.4944272110290137,0.5187033387452096,0.2888980620859395,0.4954053165141131,0.1434143215529437,0.536475181145923,0.5851925994834065,0.4149626709961677,0.534499700704476,0.5262766487857152,0.4984786162252821,0.4456518070849635,0.566393844969224,0.5309627376619498,0.458437384126595,0.6777797729254855,0.363929473739661,0.5613119448724723
Inflammatory Bowel Diseases,0.382428301414597,0.6021546919119038,1.0000000000000004,0.1369810093023565,0.424752430391545,0.5263647187487686,0.4308575359296335,0.0498341620638821,0.4846044012092786,0.1787157024136396,0.5082826397828228,0.5107905319986515,0.2827423483887312,0.5229559995227292,0.0498341620638821,0.3993394177717508,0.3398484337902882,0.3303279099780538,0.5285965607667936,0.4154099311784974,0.4224753991923788,0.4119133787926625,0.1388002258975514,0.4043190398740328,0.4337028320209453,0.3812772149634682,0.4342994103945554,0.1214501976603575,0.3468893755303082,0.5099106911343207,0.3145537023448612,0.4570549852249994,0.4784131306723074,0.4036552478658143,0.3800121308933643,0.4926857822512819,0.4492626266872916,0.4277384244855162,0.5365214849169835,0.2703448378728121,0.4502502421756126
Constipation,0.1824728401787118,0.206474047402838,0.1369810093023565,1.0,0.2620923074286939,0.161318714091902,0.1479155903852663,0.1212678125181665,0.1499389525547572,0.1863821471351995,0.2095507855053714,0.1920471213413628,0.1058512248049926,0.495073771488337,0.1212678125181665,0.0971763457834007,0.2083273552466068,0.1278818812528745,0.1770617206728106,0.2054174096953698,0.1731102961939132,0.2004722556752138,0.0422200330920749,0.2084200422875624,0.1391715599502847,0.2783431199005694,0.1761393432914695,0.3799802978286741,0.2087633558310655,0.1661826720058589,0.1391715599502847,0.1200681355490883,0.1784553041105978,0.153848847207624,0.1040323398190643,0.2858309752375148,0.1721284021176199,0.176418708008321,0.1847527430404899,0.0939806457391001,0.2095507855053714
Parkinson Disease,0.467356028201178,0.5335894361826011,0.4247524303915452,0.2620923074286938,1.0000000000000002,0.5346657942942821,0.544171121216192,0.1203858530857692,0.5201650690647016,0.3184043945551937,0.5384921261918234,0.6037262554807118,0.212789809684557,0.5878588572646296,0.1203858530857692,0.3714079574725448,0.4136244542006199,0.410779813895672,0.4978539548365394,0.5377139262117359,0.5492227117813073,0.3090574332880762,0.0628694613461931,0.5443323651174163,0.5641508413466675,0.2809240924256874,0.4742157445425465,0.2698421828973908,0.4460274047001092,0.4982216452382428,0.4190834821432387,0.4535679659774419,0.5338880735239038,0.5586390961538165,0.4423643808709049,0.5912855189759458,0.4946183164921229,0.4544770009312147,0.5538953880622766,0.3714017552019353,0.5384921261918234
Liver Neoplasms,0.5754793509160918,0.5940988044009479,0.5263647187487683,0.161318714091902,0.5346657942942814,1.0000000000000009,0.7547970610042766,0.0848379683967703,0.7548264002700865,0.2706023547498428,0.5592252923297607,0.5878013449583926,0.1805033341356475,0.6664940562118756,0.0848379683967703,0.5566171626404621,0.5299785870204121,0.5200159908839087,0.7596202592329774,0.6474926775060201,0.6975783425052684,0.3217471280112325,0.0886103680473201,0.7088828254203942,0.7025284914207226,0.2515218156052366,0.6376926968423,0.1021632217099661,0.4452911092402166,0.7455174822629551,0.6186625303193319,0.6333058691482601,0.7125074595045244,0.6535502398008163,0.6307371534080034,0.524219469801046,0.7429691125250056,0.4188603010070794,0.628485447042341,0.4730181119089366,0.5481793351445411
Urinary Bladder Neoplasms,0.616734704656495,0.4965331688031107,0.4308575359296336,0.1479155903852662,0.5441711212161922,0.7547970610042759,0.9999999999999996,0.0807183003750947,0.7381780310908725,0.2619038406423777,0.5123634458036317,0.5657680364220545,0.1526562024978317,0.6316822232742098,0.0807183003750947,0.5156635390194879,0.5266540349094688,0.4722175375572546,0.7140677986691044,0.6524658142971119,0.7462235970444799,0.2642603097759348,0.0655725117694472,0.7726242485146496,0.7367944886560863,0.2401658403069898,0.5377495022305563,0.0906951868693653,0.3866632281837264,0.6501676626989366,0.5540969029939838,0.6295434608790406,0.7783915309138508,0.6354354948096479,0.5975675260824885,0.45255052260217,0.743170598892008,0.369897721437054,0.5192284101804974,0.4441434262422375,0.4941620602793606
Pharyngeal Neoplasms,0.0501569862575519,0.0411926277285817,0.0498341620638821,0.1212678125181665,0.1203858530857692,0.0848379683967703,0.0807183003750947,1.0000000000000002,0.0668339609489447,0.025615775978928,0.0813788458771159,0.0879811740429167,0.0,0.1740776559556978,1.0000000000000002,0.0333890281647088,0.0911013611016868,0.0564932682866032,0.0536797188667359,0.1225859796402981,0.0728318404172921,0.0729324957489472,0.0,0.0759671406828455,0.0796970891329172,0.0956365069595007,0.0290496446887063,0.0,0.0374240594282559,0.0456792473218354,0.0,0.0260554529020984,0.0919737585374645,0.1341862600304233,0.0595744896602989,0.1119176588934388,0.0479529448040363,0.1272937693043289,0.0253918358059512,0.0387492129146064,0.0370285723958484
Lung Neoplasms,0.5958517833167958,0.5561194275452833,0.4846044012092788,0.1499389525547571,0.520165069064702,0.7548264002700877,0.7381780310908733,0.0668339609489447,1.000000000000001,0.2593685713750675,0.5580597694180943,0.6152086378924593,0.1476667052882334,0.69783107630641,0.0668339609489447,0.4987449445020335,0.5075337023985897,0.4304262530661413,0.7114266788993199,0.6267573530768387,0.7761452583181944,0.2948992381540504,0.0698057955613616,0.7790940250226547,0.7758006676066802,0.2301035965712911,0.5635211931293355,0.1086191559531858,0.4183253866368959,0.6628663475045493,0.5193310339282616,0.6177577909464589,0.7753565171507779,0.6029075777099759,0.5673778739601372,0.4744393995896784,0.7662880609843905,0.4010700637458191,0.5523855313513526,0.3399064439842511,0.5580597694180943
Biliary Tract Neoplasms,0.2389746830178013,0.2236983982622901,0.1787157024136396,0.1863821471351995,0.3184043945551937,0.2706023547498427,0.2619038406423778,0.025615775978928,0.2593685713750674,1.0000000000000002,0.2997309344384563,0.3380559066969644,0.0503083853179153,0.3531810911375814,0.025615775978928,0.2565857596863901,0.2280291896045237,0.3473085371393053,0.2310080057211598,0.2808993484310302,0.2820853891692733,0.1195662382521057,0.0535096108547766,0.2545312092798852,0.2621289571319482,0.1567874136116326,0.2857456091955291,0.1665239603585689,0.2588345070847992,0.2773159198088775,0.26457876046963,0.2002291933708987,0.2672965486277603,0.2587338296409553,0.2600383715159994,0.2860793176258198,0.2741681422118369,0.1844640794990228,0.3707459992884132,0.1727108613841795,0.2997309344384563
