Autism: Akkermansia, Peptostreptococcaceae, Alistipes, Clostridium, Rothia, Bacteroides vulgatus, Bilophila, Escherichia coli, Ruminococcus gnavus, Lachnospira, Dorea, Porphyromonas, Klebsiella, Lachnospiraceae, Eubacterium, Eubacterium rectale, Bacteroides fragilis, Actinomyces, Faecalibacterium prausnitzii, Ruminococcaceae
Multiple Sclerosis: Clostridium, Alistipes, Akkermansia, Dorea, Rothia, Klebsiella, Parabacteroides, Porphyromonas, Enterobacteriaceae, Enterococcus, Anaerostipes, Lachnospiraceae, Ruminococcaceae, Roseburia, Corynebacterium, Fusobacterium, Collinsella, Blautia, Faecalibacterium prausnitzii, Subdoligranulum
Crohn's Disease: Escherichia coli, Bacteroides vulgatus, Ruminococcus gnavus, Akkermansia muciniphila, Bifidobacterium longum, Peptostreptococcaceae, Rothia, Parvimonas micra, Bilophila, Lachnospira, Bacteroides ovatus, Alloprevotella, Streptococcus gordonii, Eubacterium rectale, Eubacterium, Granulicatella, Haemophilus, Akkermansia, Bacteroides fragilis, Anaerotruncus
Ulcerative Colitis: Peptostreptococcaceae, Rothia, Bacteroides vulgatus, Escherichia coli, Akkermansia, Bilophila, Clostridium, Alistipes, Ruminococcus gnavus, Lachnospira, Akkermansia muciniphila, Eubacterium, Bacteroides fragilis, Porphyromonas, Eubacterium rectale, Dorea, Lachnospiraceae, Klebsiella, Actinomyces, Haemophilus
Irritable Bowel Syndrome: Ruminococcus gnavus, Escherichia coli, Rothia, Bilophila, Lachnospira, Alloprevotella, Peptostreptococcaceae, Bacteroides vulgatus, Eubacterium, Anaerotruncus, Akkermansia, Eubacterium rectale, Granulicatella, Oscillibacter, Porphyromonas, Neisseria, Pseudomonas, Haemophilus, Collinsella, Akkermansia muciniphila
Cirrhosis: Escherichia coli, Rothia, Ruminococcus gnavus, Bacteroides vulgatus, Peptostreptococcaceae, Lachnospira, Bilophila, Akkermansia, Eubacterium, Alloprevotella, Akkermansia muciniphila, Eubacterium rectale, Porphyromonas, Alistipes, Haemophilus, Clostridium, Granulicatella, Anaerotruncus, Oscillibacter, Neisseria
Type 2 Diabetes: Bifidobacterium longum, Escherichia coli, Bacteroides vulgatus, Parvimonas micra, Akkermansia muciniphila, Ruminococcus gnavus, Alloprevotella, Streptococcus gordonii, Bacteroides ovatus, Bilophila, Lachnospira, Peptostreptococcaceae, Rothia, Eubacterium rectale, Veillonella dispar, Granulicatella, Rothia mucilaginosa, Bacteriodes uniformis, Granulicatella adiacens, Eubacterium
Obesity: Bacteroides vulgatus, Bifidobacterium longum, Ruminococcus gnavus, Escherichia coli, Alloprevotella, Veillonella dispar, Rothia mucilaginosa, Parvimonas micra, Akkermansia muciniphila, Bacteroides ovatus, Lachnospira, Bilophila, Granulicatella adiacens, Bacteriodes uniformis, Granulicatella, Streptococcus gordonii, Rothia, Eubacterium rectale, Prevotella melaninogenica, Streptococcus salivarius
Pouchitis: Propionibacterium, Propionibacterium acnes, Alloprevotella, Treponema, Moraxella, Campylobacter, Capnocytophaga, Actinobacteria, Peptostreptococcus, Aggregatibacter, Atopobium, Peptoniphilus, Selenomonas, Streptococcus salivarius, Streptococcus anginosus, Firmicutes, Coprobacillus, Gemella, Ruminococcus gnavus, Staphylococcus epidermidis
Short Bowel Syndrome: Megamonas, Collinsella, Rothia, Neisseria, Porphyromonas, Ruminococcus gnavus, Corynebacterium, Akkermansia, Fusobacterium, Alistipes, Dorea, Phascolarctobacterium, Lachnospira, Klebsiella, Oscillibacter, Proteobacteria, Clostridium, Haemophilus, Anaerostipes, Eubacterium
Acquired Immunodeficiency Syndrome: Megamonas, Collinsella, Rothia, Akkermansia, Corynebacterium, Porphyromonas, Alistipes, Neisseria, Dorea, Clostridium, Phascolarctobacterium, Fusobacterium, Klebsiella, Ruminococcus gnavus, Anaerostipes, Lachnospira, Subdoligranulum, Blautia, Enterobacteriaceae, Oscillibacter
Laryngeal carcinoma: Fusicatenibacter, Sneathia, Desulfovibrio, Prevotella, Streptococcus, Lactobacillus, Bacteroides, Faecalibacterium, Bifidobacterium, Ruminococcus, Roseburia, Parabacteroides, Blautia, Veillonella, Enterococcus, Coprococcus, Fusobacterium, Enterobacteriaceae, Dialister, Enterobacter
Psoriasis: Escherichia coli, Rothia, Peptostreptococcaceae, Bilophila, Lachnospira, Bacteroides vulgatus, Ruminococcus gnavus, Alloprevotella, Eubacterium, Akkermansia muciniphila, Akkermansia, Eubacterium rectale, Granulicatella, Porphyromonas, Haemophilus, Bifidobacterium longum, Anaerotruncus, Alistipes, Pseudomonas, Clostridium
Cystic Fibrosis: Escherichia coli, Ruminococcus gnavus, Alloprevotella, Bacteroides vulgatus, Bifidobacterium longum, Bilophila, Lachnospira, Rothia, Granulicatella, Peptostreptococcaceae, Akkermansia muciniphila, Veillonella dispar, Rothia mucilaginosa, Bacteriodes uniformis, Eubacterium rectale, Eubacterium, Anaerotruncus, Pseudomonas, Parvimonas micra, Streptococcus salivarius
