Colon cancer: Aeromonadaceae, Cellulomonadaceae, Bacillaceae, Nitrospiraceae, Anaerovorax, Alteromonadaceae, Peptostreptococcaceae, Desulfovibrionaceae, Desulfobacteraceae, Promicromonosporaceae, Clostridium cocleatum, Syntrophobacteraceae, Thiotrichaceae, Polyangiaceae, Bifidobacterium catenulatum, Ruminococcus productus, Acidobacteriaceae, Clostridiaceae, Paenibacillaceae, Coxiellaceae
Periodontal: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Streptococcus, Bacteroides uniformis, Enterobacteriaceae, Clostridium coccoides, Fusobacterium, Bacteroides vulgatus, Lactobacillus, Bacteroides ovatus, Faecalibacterium prausnitzii, Clostridium leptum, Clostridia, Veillonella
Gastric and duodenal ulcer: Helicobacter pylori, Clostridium difficile, Tropheryma whipplei, Oxalobacteraceae, Sphingomonadaceae, Comamonadaceae, Escherichia coli, Methanobrevibacter smithii, Erysipelotrichaceae, Coriobacteriaceae, Alcaligenaceae, Prevotella copri, Staphylococcus epidermidis, Oxalobacter formigenes, Dietzia maris, Corynebacterium, Acinetobacter, Desulfovibrio, Fusobacterium nucleatum, Propionibacterium
Gastro-oesophageal reflux: Firmicutes, Staphylococcus, Proteobacteria, Bacteroidetes, Prevotella, Clostridium leptum, Actinobacteria, Enterococcus, Enterobacter aerogenes, Shigella dysenteriae, Klebsiella pneumoniae, Enterobacter hormaechei, Clostridium coccoides, Sphingomonadaceae, Comamonadaceae, Oxalobacteraceae, Erysipelotrichales, Faecalibacterium prausnitzii, Enterobacteriaceae, Escherichia coli
Guttate psoriasis: Aerococcus, Mobiluncus, Lactobacillus iners, Leptotrichia amnionii, Eggerthella, Atopobium, Leptotrichia, Gardnerella vaginalis, Lactobacillus  crispatus, Olsenella, Porphyromonas uenonis, Streptobacillus, Gardnerella, Papillibacter, Candidate division TM7, Atopobium vaginae, Streptococcus mitis, Lysobacter, Xanthomonas, Rickettsiales
Atopy: Firmicutes, Staphylococcus, Prevotella, Clostridium leptum, Proteobacteria, Bacteroidetes, Actinobacteria, Erysipelotrichales, Bacteroides ovatus, Enterococcus, Clostridia, Enterobacter aerogenes, Klebsiella pneumoniae, Shigella dysenteriae, Enterobacter hormaechei, Escherichia coli, Oxalobacteraceae, Sphingomonadaceae, Comamonadaceae, Actinomyces
Diarrhea Irritable bowel syndrome(IBS): Candidate division TM7, Atopobium vaginae, Papillibacter, Lactobacillus  crispatus, Leptotrichia, Eggerthella, Gardnerella, Gardnerella vaginalis, Atopobium, Leptotrichia amnionii, Aerococcus, Streptobacillus, Porphyromonas uenonis, Mobiluncus, Olsenella, Lactobacillus iners, Shuttleworthia, Betaproteobacteria, Clostridiales, Desulfovibrio
Irritable bowel syndrome(IBS): Peptostreptococcaceae, Alteromonadaceae, Anaerovorax, Bacillaceae, Cellulomonadaceae, Desulfobacteraceae, Desulfovibrionaceae, Nitrospiraceae, Polyangiaceae, Promicromonosporaceae, Syntrophobacteraceae, Thiotrichaceae, Aeromonadaceae, Clostridium cocleatum, Bifidobacterium catenulatum, Ruminococcus productus, Clostridiaceae, Acidobacteriaceae, Paenibacillaceae, Gammaproteobacteria
Constipation Irritable bowel syndrome(IBS): Proteobacteria, Bacteroidetes, Enterobacteriaceae, Firmicutes, Lachnospiraceae, Staphylococcus, Haemophilus, Clostridium coccoides, Prevotella, Gammaproteobacteria, Veillonella, Actinobacteria, Bacteroidaceae, Faecalibacterium prausnitzii, Bacteroides vulgatus, Coprococcus, Dorea, Pasteurellaceae, Streptococcaceae, Ruminococcus
Obesity: Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Enterobacteriaceae, Clostridium coccoides, Lachnospiraceae, Lactobacillus, Bacteroides vulgatus, Bacteroides uniformis, Streptococcus, Clostridium leptum, Faecalibacterium prausnitzii, Bacteroides ovatus, Fusobacterium, Veillonella, Enterococcus
Ileal Crohn's disease(CD): Proteobacteria, Firmicutes, Bacteroidetes, Prevotella, Actinobacteria, Staphylococcus, Haemophilus, Lachnospiraceae, Bacteroides uniformis, Clostridium coccoides, Enterobacteriaceae, Streptococcus, Bacteroides vulgatus, Fusobacterium, Lactobacillus, Bacteroides ovatus, Faecalibacterium prausnitzii, Clostridium leptum, Clostridia, Veillonella
