Spirochaetes: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Actinomyces: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Clostridium: Parkinson Disease, Lung Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Enterobacteriaceae: Stomach Neoplasms, Lung Neoplasms, Liver Neoplasms, Parkinson Disease, Alzheimer Disease, Colorectal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Fusobacterium: Lung Neoplasms, Parkinson Disease, Stomach Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Liver Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Haemophilus: Lung Neoplasms, Stomach Neoplasms, Parkinson Disease, Alzheimer Disease, Liver Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Porphyromonas: Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Colorectal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella: Stomach Neoplasms, Lung Neoplasms, Liver Neoplasms, Parkinson Disease, Alzheimer Disease, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus: Stomach Neoplasms, Lung Neoplasms, Liver Neoplasms, Parkinson Disease, Alzheimer Disease, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Veillonella: Parkinson Disease, Lung Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Fusobacterium varium: Colorectal Neoplasms, Parkinson Disease, Stomach Neoplasms, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Liver Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Escherichia coli: Lung Neoplasms, Alzheimer Disease, Parkinson Disease, Colorectal Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lactobacillus sp.: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Veillonella sp.: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Capnocytophaga gingivalis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Capnocytophaga ochracea: Colorectal Neoplasms, Mouth Neoplasms, Alzheimer Disease, Parkinson Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lachnoanaerobaculum saburreum: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Leptotrichia buccalis: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Prevotella melaninogenica: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus mitis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Breast Neoplasms, Stomach Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Clostridiaceae: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Faecalibacterium: Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Faecalibacterium prausnitzii: Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Fusobacteria: Lung Neoplasms, Parkinson Disease, Colorectal Neoplasms, Alzheimer Disease, Stomach Neoplasms, Mouth Neoplasms, Liver Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Fusobacteriaceae: Lung Neoplasms, Parkinson Disease, Stomach Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Liver Neoplasms, Mouth Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Asteroleplasma: Parkinson Disease, Colorectal Neoplasms, Stomach Neoplasms, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Proteobacteria: Stomach Neoplasms, Lung Neoplasms, Parkinson Disease, Liver Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
