species_taxonomy_id	orthgroup_id	count
573	COG0583	111
573	COG0477	78
573	COG2207	37
573	COG0454	32
573	COG1309	31
573	COG1609	30
573	COG1028	27
573	COG0834	26
573	COG2271	26
573	COG0642	23
573	COG3539	22
573	COG1012	22
573	COG0745	21
573	COG0765	20
573	COG2199	20
573	COG0697	19
573	COG0582	18
573	COG1126	16
573	COG1349	16
573	COG1879	15
573	COG0845	15
573	COG1172	14
573	COG2197	14
573	COG1129	14
573	COG3842	13
573	COG0524	13
573	COG4977	13
573	COG1566	13
573	COG1670	13
573	COG1264	13
573	COG0673	13
573	COG0625	13
573	COG2211	13
573	COG2141	12
573	COG0841	12
573	COG0494	12
573	COG0346	12
573	COG2200	12
573	COG1396	12
573	COG2076	12
573	COG1846	12
573	COG1263	12
573	COG0715	12
573	COG1082	11
573	COG1917	11
573	COG3121	11
573	COG1113	11
573	COG0601	10
573	COG3316	10
573	COG1167	10
573	COG1280	10
573	COG0747	10
573	COG4577	10
573	COG0243	10
573	COG1173	10
573	COG3170	9
573	COG0235	9
573	COG0609	9
573	COG0531	9
573	COG0741	9
573	COG1454	9
573	COG0589	9
573	COG4580	9
573	COG0451	9
573	COG0526	9
573	COG0600	9
573	COG1974	9
573	COG1473	9
573	COG1116	9
573	COG0667	9
573	COG3188	9
573	COG0604	9
573	COG1018	9
573	COG0654	9
573	COG1762	9
573	COG2723	8
573	COG2223	8
573	COG0624	8
573	COG3203	8
573	COG1335	8
573	COG3451	8
573	COG1737	8
573	COG0443	8
573	COG1414	8
573	COG4948	8
573	COG0329	8
573	COG1651	8
573	COG0389	7
573	COG1403	7
573	COG1070	7
573	COG0671	7
573	COG0183	7
573	COG1940	7
573	COG0665	7
573	COG2186	7
573	COG1455	7
573	COG1464	7
573	COG1961	7
573	COG0607	7
573	COG0614	7
573	COG0251	7
573	COG0814	7
573	COG0444	7
573	COG0789	7
573	COG0500	7
573	COG1289	7
573	COG1120	7
573	COG0028	7
573	COG1902	7
573	COG1502	7
573	COG2026	6
573	COG2188	6
573	COG0784	6
573	COG4644	6
573	COG1538	6
573	COG2801	6
573	COG2128	6
573	COG2771	6
573	COG0599	6
573	COG1192	6
573	COG0586	6
573	COG1802	6
573	COG0640	6
573	COG0488	6
573	COG0491	6
573	COG0791	6
573	COG2267	6
573	COG2885	6
573	COG1960	6
573	COG0507	6
573	COG1925	6
573	COG2367	6
573	COG0436	6
573	COG3505	6
573	COG1053	6
573	COG0596	6
573	COG0760	6
573	COG1175	6
573	COG1440	6
573	COG1486	6
573	COG0561	6
573	COG5464	6
573	COG2249	6
573	COG3414	6
573	COG0628	6
573	COG4974	6
573	COG0842	6
573	COG1123	6
573	COG1522	6
573	COG0662	6
573	COG3383	6
573	COG1278	6
573	NOG37702	6
573	COG1215	5
573	COG0169	5
573	COG0111	5
573	COG3678	5
573	COG1475	5
